"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.408424061997494,0.642108814175885,0.436308267806058,NA,0,0,0
"peritoneum",0.408424061997494,1,0.663760799338111,0.657264475400784,0,NA,0,0
"brain",0.642108814175885,0.663760799338111,1,0.711112449767228,0,0,NA,0
"blood",0.436308267806058,0.657264475400784,0.711112449767228,1,0,0,0,NA
