"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.531936436071656,NA,0
"mouse_C57BL6",0.531936436071656,1,0,NA
