"","other","macrophages","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","macrophages","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.493943437843666,0.972244320185596,0.734717913592914,0.999056553881619,0.584233466524022,0.972244320185596,0.493943437843666,0.789113669283979,0.596500202685734,NA,0,0,0,0,0,0,0,0,0
"macrophages",0.493943437843666,1,0.389640069280941,0.847746986823163,0.482894445642011,0.975117177705965,0.389640069280941,1,0.528142911632212,0.597150779175274,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.972244320185596,0.389640069280941,1,0.575292992225696,0.976268884024442,0.469209923440447,1,0.389640069280941,0.661099886434827,0.419994994361944,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.734717913592914,0.847746986823163,0.575292992225696,1,0.720462758131749,0.900029874545307,0.575292992225696,0.847746986823163,0.833626056382239,0.860391287066258,0,0,0,NA,0,0,0,0,0,0
"No_data",0.999056553881619,0.482894445642011,0.976268884024442,0.720462758131749,1,0.566247524917919,0.976268884024442,0.482894445642011,0.769461891586218,0.590966500320762,0,0,0,0,NA,0,0,0,0,0
"5_months",0.584233466524022,0.975117177705965,0.469209923440447,0.900029874545307,0.566247524917919,1,0.469209923440447,0.975117177705965,0.663081808770566,0.62652161422527,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.972244320185596,0.389640069280941,1,0.575292992225696,0.976268884024442,0.469209923440447,1,0.389640069280941,0.661099886434827,0.419994994361944,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.493943437843666,1,0.389640069280941,0.847746986823163,0.482894445642011,0.975117177705965,0.389640069280941,1,0.528142911632212,0.597150779175274,0,0,0,0,0,0,0,NA,0,0
"brain",0.789113669283979,0.528142911632212,0.661099886434827,0.833626056382239,0.769461891586218,0.663081808770566,0.661099886434827,0.528142911632212,1,0.606555631513377,0,0,0,0,0,0,0,0,NA,0
"blood",0.596500202685734,0.597150779175274,0.419994994361944,0.860391287066258,0.590966500320762,0.62652161422527,0.419994994361944,0.597150779175274,0.606555631513377,1,0,0,0,0,0,0,0,0,0,NA
