"","other","macrophages","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","macrophages","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.560128155145171,0.902188576408175,0.787838548993247,0.998268022098646,0.625503780998605,0.902188576408175,0.560128155145171,0.863916387565177,0.695007583327365,NA,0,0,0,0,0,0,0,0,0
"macrophages",0.560128155145171,1,0.339575599307246,0.880857676332073,0.528589790901849,0.991035888708682,0.339575599307246,1,0.636273440503099,0.61014291682326,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.902188576408175,0.339575599307246,1,0.485128713491407,0.914126411254597,0.395805780510899,1,0.339575599307246,0.656831653355555,0.344562760917694,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.787838548993247,0.880857676332073,0.485128713491407,1,0.761889433963121,0.914425952867813,0.485128713491407,0.880857676332073,0.848409838072438,0.876484156505721,0,0,0,NA,0,0,0,0,0,0
"No_data",0.998268022098646,0.528589790901849,0.914126411254597,0.761889433963121,1,0.591159395845409,0.914126411254597,0.528589790901849,0.840206403601668,0.682817437322017,0,0,0,0,NA,0,0,0,0,0
"5_months",0.625503780998605,0.991035888708682,0.395805780510899,0.914425952867813,0.591159395845409,1,0.395805780510899,0.991035888708682,0.717339412175935,0.643495188210285,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.902188576408175,0.339575599307246,1,0.485128713491407,0.914126411254597,0.395805780510899,1,0.339575599307246,0.656831653355555,0.344562760917694,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.560128155145171,1,0.339575599307246,0.880857676332073,0.528589790901849,0.991035888708682,0.339575599307246,1,0.636273440503099,0.61014291682326,0,0,0,0,0,0,0,NA,0,0
"brain",0.863916387565177,0.636273440503099,0.656831653355555,0.848409838072438,0.840206403601668,0.717339412175935,0.656831653355555,0.636273440503099,1,0.663094885346935,0,0,0,0,0,0,0,0,NA,0
"blood",0.695007583327365,0.61014291682326,0.344562760917694,0.876484156505721,0.682817437322017,0.643495188210285,0.344562760917694,0.61014291682326,0.663094885346935,1,0,0,0,0,0,0,0,0,0,NA
