"","other","macrophages"
"1010001N08Rik",0.00194630635535795,1.33585228803093
"1300014J16Rik",1.45084634117375,0.707064124381027
"1500015A07Rik",2.61595944583933,0.595712561541098
"1700008J07Rik",2.406991794575,2.10150881195884
"1700011D18Rik",0.18860391013456,0.465704269369612
"1700025O08Rik",0.34680092936602,4.07264613175454
"1700037H04Rik",3.30247896191643,2.78326566019576
"1700047M11Rik",1.9591551852055,2.34907646254322
"1700067K01Rik",1.23671264659752,0.501109907194583
"1700109G15Rik",0.397698719466132,4.97534734687125
"1700113B19Rik",0.26180075939691,0.344357823904777
"2010110G14Rik",0.187332171245813,2.38539081874383
"2200002J24Rik",0.17473598844618,1.50602472760604
"2210417A02Rik",0.692555799607327,1.68328585684452
"2310074N15Rik",1.15848787143401,1.77035198114587
"2610318N02Rik",0.502932287577244,0.633877549851877
"2610507B11Rik",5.59713284216851,3.70051071031971
"2700033N17Rik",1.28568809894116,1.38715904879565
"2810408I11Rik",0.585991562906486,1.49204386352314
"3110070M22Rik",2.35678396056485,1.72929498349584
"4631405K08Rik",0.0831344117015572,0.53190089456213
"4930426L09Rik",0.942948066165927,0.57497432452602
"4930448A20Rik",0.912929073697876,0.356983060642172
"4930455G09Rik",1.21529400480725,6.45001896983418
"4930520O04Rik",0.698029365778117,1.37994615913895
"4930524J08Rik",2.47615054229114,4.39832980898023
"4930555A03Rik",0.399941097919142,3.87586345306721
"4930579G24Rik",2.84999636974944,2.05248356084331
"4933417E11Rik",0.136940877006618,1.46791733543857
"5031425F14Rik",0.892930987885317,3.26299553758891
"5430425K12Rik",0.951400587133713,0.655857587401871
"9130008F23Rik",0.813676485493092,3.0770279107095
"9130214F15Rik",0.190967917498074,0.888908317355137
"9230111E07Rik",0.825430823284506,2.19288110839086
"9430037G07Rik",0.707200700036569,0.560825001326615
"9530018F02Rik",1.33453470436769,2.60473765428406
"9930004E17Rik",1.76573095356402,1.73743108361438
"A030005L19Rik",1.23086055005905,0.940371329121042
"A230060F14Rik",0.507065760012588,0.500856274152765
"A430105I19Rik",2.09860899947649,2.86667677881176
"A530030E21Rik",0.570418297698482,2.12763010499752
"A530064D06Rik",1.24755171263224,2.26038181407522
"A630052C17Rik",2.43050890360819,0.6908199438462
"A830035O19Rik",1.4780466731525,0.957570931022136
"AA914427",2.14899189816625,0.523916399746633
"AB124611",2.14602947507629,6.91129111670347
"AC093043.1",0.269975669652785,0.406113981872045
"AC101945.3",0.255607801287831,0.63375715916131
"AC104325.1",0.742614021857623,0.726846945168803
"AC113177.1",0.242439663680878,0.397004721884155
"AC119264.1",0.497494945671961,0.672361750079068
"AC121567.1",1.39724416709569,5.43363862493909
"AC124408.1",0.0586661328037314,0.541661969079513
"AC126028.1",0.372162468054032,0.669303530986051
"AC130673.2",0.0513206561454591,0.537330685716365
"AC132863.2",1.86538722553314,0.429253808922503
"AC153911.1",1.55658443675941,0.657866324943212
"AC153974.1",0.132986071735204,0.727613063499798
"AC154589.1",0.240190745139982,0.404970998568267
"AC155167.2",0.140081228197981,2.38612270582256
"AC157572.3",0.535548573335258,0.954834828404975
"AC192088.1",0.117569568695097,0.448709453300985
"AI427809",0.33531907853983,0.689520725037382
"AI467606",4.9281560337937,9.59293782199129
"AI838599",0.358574483103764,0.76264101273449
"Acaa2",3.21588146389214,4.26081821793307
"Acaca",1.29803786167214,2.54614760756479
"Acap3",5.07299794546779,2.85361964533048
"Ackr3",2.2193303304702,3.35694676444332
"Acly",5.41314926319032,6.72315945694228
"Acpp",0.51801093757958,1.37321344787342
"Acy3",2.12174756257837,3.76612892874853
"Adamts10",3.31170718785454,1.59798053310241
"Adamtsl4",1.95312491974176,1.63574321711187
"Adamtsl5",0.439504293678822,3.92693032808089
"Adap1",3.00756820117671,3.97251287460729
"Adarb1",1.17583453250239,1.27877014505172
"Add3",3.68274548318903,4.54301246132186
"Adgb",0.314866954963021,1.09918469242474
"Adgre1",2.72302245625358,6.60809659662254
"Adgre4",1.34371849866614,2.17090356425134
"Adgrg6",0.415215136865755,1.11493375756398
"Adipor2",3.55708731450089,3.76020000070654
"Adk",0.896645291786988,1.05842822315165
"Adora2a",1.80966301480916,1.56022184309239
"Adora2b",2.04378465113583,2.69074907888845
"Adssl1",3.2823426215863,4.8879037107017
"Afdn",1.92652283014372,1.38727463031797
"Agfg2",2.51847269753891,2.97021417837682
"Agtrap",3.28849538011754,6.14085956739115
"Ahctf1",2.79585760865629,2.05792703318991
"Ahcy",2.13233619923294,3.50400279841581
"Ahnak",2.635742616811,6.4299033094158
"Aida",3.0193986142002,3.63866936162055
"Aifm2",1.59089651912402,3.59250866037815
"Aipl1",0.119743719932878,0.830268266922661
"Ak8",0.26419015985999,0.822091020363474
"Akap7",1.55038362454947,1.58721956567752
"Akr1c12",0.108214986497687,1.24147876607341
"Akr1c13",1.09380598848357,4.32956799506323
"Alcam",2.13324556008163,1.92902379480693
"Aldh1a2",0.244851607902775,2.82133921164086
"Aldh1b1",2.70192256369344,3.3177939410202
"Aldh2",4.69050678087036,7.81214810406468
"Aldh3b1",3.52193767245218,4.53543691574881
"Alox15",0.50986310746266,11.5917655594662
"Alox5",2.28822632266465,5.36371979140332
"Ambp",0.136996181417705,1.0273144531349
"Amigo2",2.64369369798472,4.38941114909699
"Ampd2",4.52933919590926,3.22538102018679
"Angptl4",2.6611472616336,1.85942402118642
"Ankle1",1.40816914516817,1.86233896886697
"Ankrd33b",0.888644637597288,2.02760416895352
"Anln",1.57922909835849,2.10358016741128
"Anp32b",4.57157187833652,5.36128476470225
"Anpep",0.393797825487715,1.56595682469294
"Anxa1",2.63016471524934,5.26415501788309
"Anxa11",1.27280891746041,3.2084934969957
"Anxa2",3.33172187223644,6.15449135538187
"Anxa4",2.12587397720647,1.42024203826127
"Anxa6",4.28201443066013,4.46827655099877
"Apaf1",1.951697750728,1.64231334861875
"Aplp2",5.64442683895763,5.1116065790097
"Apoc1",1.36170423007754,6.48330014209086
