"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.389640069280941,0.661099886434827,0.419994994361944,NA,0,0,0
"peritoneum",0.389640069280941,1,0.528142911632212,0.597150779175274,0,NA,0,0
"brain",0.661099886434827,0.528142911632212,1,0.606555631513377,0,0,NA,0
"blood",0.419994994361944,0.597150779175274,0.606555631513377,1,0,0,0,NA
