"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.575292992225696,NA,0
"mouse_C57BL6",0.575292992225696,1,0,NA
