"","other","macrophages","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1600014C23Rik",0.452180434738168,0,0.775166459551144,0,0.493287746987092,0,0.775166459551144,0,0,0
"1700003M07Rik",1.49470481250313,0.256912069117145,2.18217585607895,0.428995370604541,1.63058706818523,0.192684051837859,2.18217585607895,0.256912069117145,0.239711118220346,0.824779584773611
"1700007K13Rik",0.769476926567832,0,0.842347356871154,0.417161452589489,0.753978846797307,0.234988951010903,0.842347356871154,0,0.542641279691041,0.792275368595323
"1700018A04Rik",0.233894063783817,0.0117494585891793,0.22548477155128,0.157947967539298,0.252208283770897,0.0169215049233688,0.22548477155128,0.0117494585891793,0.0441670604197729,0.447167085398966
"1810010K12Rik",0.195360330572475,0,0.304918005323418,0.0262372412007214,0.213120360624518,0,0.304918005323418,0,0,0.0839591718423084
"1810063I02Rik",0.228087927056845,0,0.391007874954591,0,0.248823193152922,0,0.391007874954591,0,0,0
"2010109P13Rik",0.229342808861258,0,0.393159100905014,0,0.250192155121372,0,0.393159100905014,0,0,0
"2310014F06Rik",0.323008840902376,0.102345304156194,0.32605010570911,0.237598907916665,0.341615080203561,0.10634403026448,0.32605010570911,0.102345304156194,0.09022569079993,0.547276449545964
"2810459M11Rik",2.00337789350863,0,3.07307358791882,0.316127450833986,2.1747710114459,0.0295133990496809,3.07307358791882,0,0.271824756457733,0.739783086211021
"2900052N01Rik",1.02809501533863,0.0221506431738462,1.40494491272389,0.321122215564733,1.11682581669541,0.0296270324838988,1.40494491272389,0.0221506431738462,0.635262312004521,0.365748005994009
"3110079O15Rik",0.597853405921388,0,0.863274003076265,0.14141535619035,0.652203715550605,0,0.863274003076265,0,0.0401906426769802,0.412338497132139
"3110082J24Rik",1.36207253986347,0,2.14309577797119,0.167900004070416,1.4858973162147,0,2.14309577797119,0,0.0440370342962488,0.493242978729082
"3930402G23Rik",0.617888628330122,0,0.948975967866577,0.0964789706119279,0.674060321814678,0,0.948975967866577,0,0.022068332326581,0.286664373631588
"4921530L21Rik",0.407736494349303,0,0.522612515202389,0.154318790721864,0.444803448381058,0,0.522612515202389,0,0,0.493820130309966
"4930412L05Rik",0.431657724532471,0.144669265102995,0.65573305223543,0.127971140506329,0.470899335853605,0.108501948827246,0.65573305223543,0.144669265102995,0.0460764491860381,0.189828082310621
"4930432E11Rik",0.450044717450014,0.0258508300678907,0.677756885394495,0.0917238627302972,0.490957873581834,0.019388122550918,0.677756885394495,0.0258508300678907,0.00912561437741688,0.253369750278065
"4930443O20Rik",0.242938575024377,0.0700294808006793,0.309971266874259,0.119444059321845,0.265023900026594,0.0525221106005095,0.309971266874259,0.0700294808006793,0.164858675681961,0.133326937187126
"4930527E20Rik",1.03970301267432,0,1.24446235799484,0.470649955765995,1.13422146837198,0,1.24446235799484,0,0.442033930440939,1.06404592801024
"4930578C19Rik",0.428682856555373,0.0408046885571694,0.527935657879402,0.196382342397522,0.46080930383769,0.0494265005303492,0.527935657879402,0.0408046885571694,0.0654500184919854,0.514007850911482
"4933415A04Rik",1.16916912610105,0.122790762107744,1.70421274177836,0.308614075885916,1.27545722847387,0.092093071580808,1.70421274177836,0.122790762107744,0.148961595407842,0.691254532897798
"4933416E14Rik",0.710666668879529,0.126288005690301,1.03329761070084,0.209222596089918,0.775272729686759,0.0947160042677259,1.03329761070084,0.126288005690301,0.0465633263169726,0.471403374342403
"4933421A08Rik",1.08061205310223,0,1.32564750550165,0.460976512339403,1.15317998793572,0.0705911924834544,1.32564750550165,0,0.253296690174742,1.22182814931135
"5033404E19Rik",0.165708472946583,0.0876265316366445,0.233085175594583,0.077473130138357,0.17478862633094,0.0821765951571491,0.233085175594583,0.0876265316366445,0.035205252001747,0.107556926477022
"5430427N15Rik",0.200334500655118,0,0.260581921021647,0.0724925700887359,0.218546727987401,0,0.260581921021647,0,0,0.231976224283955
"5930412G12Rik",0.621584280458947,0.0144677828328182,1.04561479545457,0.0228888932279794,0.675011635785544,0.0193216800912088,1.04561479545457,0.0144677828328182,0.0135533487465523,0.0423297701836001
"6030445D17Rik",0.358702696913809,0.349779399553509,0.542383731526069,0.194635555117968,0.391312032996882,0.262334549665131,0.542383731526069,0.349779399553509,0.051742314270648,0.151356182642639
"6430500D05Rik",0.308368180245124,0,0.414498952590731,0.0998656868507956,0.336401651176499,0,0.414498952590731,0,0,0.319570197922546
"6720483E21Rik",0.872635948439695,0,1.27784831527295,0.190836646795711,0.95196648920694,0,1.27784831527295,0,0,0.610677269746276
"9330182L06Rik",1.17925535548046,0.954224633292729,1.72504663582004,0.617301464362931,1.22318762061287,0.889668584725536,1.72504663582004,0.954224633292729,0.328717199884646,0.501577926125458
