"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.339575599307246,0.656831653355555,0.344562760917694,NA,0,0,0
"peritoneum",0.339575599307246,1,0.636273440503099,0.61014291682326,0,NA,0,0
"brain",0.656831653355555,0.636273440503099,1,0.663094885346935,0,0,NA,0
"blood",0.344562760917694,0.61014291682326,0.663094885346935,1,0,0,0,NA
