"","other","macrophages","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1700025O08Rik",0.34680092936602,4.07264613175454,0,2.04744369345698,0.241301438065035,3.43130843223511,0,4.07264613175454,0.846721460682524,0.817923000274371
"2610507B11Rik",5.59713284216851,3.70051071031971,6.28208997186643,4.28656205423953,5.98640042728028,3.10418038422452,6.28208997186643,3.70051071031971,3.6395371667356,5.63684855444724
"4930455G09Rik",1.21529400480725,6.45001896983418,0.499650927144015,3.80450355964768,1.30515292947765,4.89422568573384,0.499650927144015,6.45001896983418,0.235369834368204,4.19901879270335
"4930524J08Rik",2.47615054229114,4.39832980898023,2.58286672746617,3.10359110527139,2.54754911972587,3.72143890436244,2.58286672746617,4.39832980898023,2.13326544306091,2.52023032303128
"4930555A03Rik",0.399941097919142,3.87586345306721,0.4080169962873,1.69634557002753,0.436299379548155,2.90689758980041,0.4080169962873,3.87586345306721,0.191845067191305,0.585424613216135
"5031425F14Rik",0.892930987885317,3.26299553758891,0.0992692921362208,2.47615917780462,0.935069072329208,2.55459966794231,0.0992692921362208,3.26299553758891,0.8997048484362,3.1084098754319
"9130008F23Rik",0.813676485493092,3.0770279107095,0.342769027731706,2.07447729549046,0.887647075083373,2.30777093303212,0.342769027731706,3.0770279107095,0.0434653191653898,2.90242853355268
"A430105I19Rik",2.09860899947649,2.86667677881176,2.75495882154661,1.81232832241586,2.28183776601141,2.1707807260069,2.75495882154661,2.86667677881176,0.935026518801271,1.42441197835536
"AB124611",2.14602947507629,6.91129111670347,0.74277456038595,5.16085064104053,2.19518688395025,5.58479283189327,0.74277456038595,6.91129111670347,1.44332079776734,6.77785191351817
"AC121567.1",1.39724416709569,5.43363862493909,0.00245597284280264,4.13133175875824,1.26362979703818,4.7919795281364,0.00245597284280264,5.43363862493909,2.63143652880905,4.06845874929043
"AC155167.2",0.140081228197981,2.38612270582256,0,1.10491785698043,0.152815885306889,1.78959202936692,0,2.38612270582256,0,0.67238989535031
"AI467606",4.9281560337937,9.59293782199129,2.38742291323888,8.90059068485327,4.72431248364769,8.98731213784345,2.38742291323888,9.59293782199129,7.53895697969959,9.43140782544133
"Acaa2",3.21588146389214,4.26081821793307,2.80292983109775,3.96906542535258,3.34766909797182,3.63716803570371,2.80292983109775,4.26081821793307,2.89968002284704,4.68834747676153
"Acaca",1.29803786167214,2.54614760756479,1.50787112223748,1.58247491338721,1.40669987355206,1.93529963842184,1.50787112223748,2.54614760756479,0.429617354761048,1.57892523900027
"Acap3",5.07299794546779,2.85361964533048,6.16777141530491,3.28280429680882,5.50544962512228,2.21922210131496,6.16777141530491,2.85361964533048,2.32202504518983,4.75860513020182
"Ackr3",2.2193303304702,3.35694676444332,3.16169989980691,1.82136312004049,2.34057167323002,2.73912896336051,3.16169989980691,3.35694676444332,1.27337403658375,0.526651830213838
"Acly",5.41314926319032,6.72315945694228,5.76713530160667,5.59466530223299,5.62744004701042,5.80635725299899,5.76713530160667,6.72315945694228,4.7757046848427,5.05943293397213
"Acy3",2.12174756257837,3.76612892874853,3.17649666301906,1.81548511200658,2.28762249996225,2.89887750940033,3.17649666301906,3.76612892874853,0.332774505954003,0.957423137968818
"Adamtsl5",0.439504293678822,3.92693032808089,0.561821128721456,1.64026182591729,0.455206111973835,3.01189381916909,0.561821128721456,3.92693032808089,0.352137214931612,0.184384234306656
"Adap1",3.00756820117671,3.97251287460729,3.09949173560674,3.28898936108689,3.19418773050433,3.21807300059868,3.09949173560674,3.97251287460729,1.06289598831163,4.69485451763768
"Add3",3.68274548318903,4.54301246132186,3.3310298231098,4.31309680255816,3.90729380817751,3.7104378230703,3.3310298231098,4.54301246132186,2.33270561177443,6.01758920282545
"Adipor2",3.55708731450089,3.76020000070654,4.00645621852448,3.24005678080737,3.75821228272362,3.15632816654264,4.00645621852448,3.76020000070654,2.13078328948922,3.72515840824653
"Adora2b",2.04378465113583,2.69074907888845,1.8907378739961,2.42031224154032,2.20712595497736,2.07981938638607,1.8907378739961,2.69074907888845,0.294724127138408,4.22137615112447
"Adssl1",3.2823426215863,4.8879037107017,2.27280519789898,4.76777327573098,3.42957550573391,4.08162300701691,2.27280519789898,4.8879037107017,2.83734599915294,6.55404403034415
"Agtrap",3.28849538011754,6.14085956739115,2.42220218494631,5.11613849611997,3.34055180218453,5.2846133598885,2.42220218494631,6.14085956739115,3.87488545973626,5.12772624697825
"Ahcy",2.13233619923294,3.50400279841581,2.07975453835199,2.69272012719734,2.24360389016044,2.85509999856946,2.07975453835199,3.50400279841581,1.43321747461912,2.9786835743134
"Ahnak",2.635742616811,6.4299033094158,1.57304628210288,4.9884121694074,2.80849909551525,5.00628281982792,1.57304628210288,6.4299033094158,0.525837381112923,7.72119758969181
"Aida",3.0193986142002,3.63866936162055,2.93689377755416,3.32381687654811,3.18306652915371,3.03376490864332,2.93689377755416,3.63866936162055,2.23487722575847,4.03493354525084
"Aifm2",1.59089651912402,3.59250866037815,1.50829152622961,2.41378044087693,1.7300815027979,2.70934691996145,1.50829152622961,3.59250866037815,0.266006829267619,3.14708018908478
"Akr1c13",1.09380598848357,4.32956799506323,0.410420886040142,2.90517870558894,1.11955370687088,3.44982126785321,0.410420886040142,4.32956799506323,0.987796535746134,3.11329372806261
"Aldh1a2",0.244851607902775,2.82133921164086,0.238030490607275,1.21700293693812,0.260101353444587,2.13528051046636,0.238030490607275,2.82133921164086,0.10111657801579,0.407685766217161
"Aldh2",4.69050678087036,7.81214810406468,4.23059129455659,6.26354832759277,4.79300252685826,6.74987447179938,4.23059129455659,7.81214810406468,3.66904914333891,6.99972778008035
"Alox15",0.50986310746266,11.5917655594662,0.126186532169052,5.00129353034591,0.532622889417618,8.75870054608921,0.126186532169052,11.5917655594662,0.680198435334713,1.41382219041271
"Alox5",2.28822632266465,5.36371979140332,1.3095938584527,4.2978397796271,2.35554828546547,4.40971102651638,1.3095938584527,5.36371979140332,2.99339909555302,4.32322444956971
"Amigo2",2.64369369798472,4.38941114909699,3.56730550494213,2.49017741106408,2.81743050921694,3.4752055554303,3.56730550494213,4.38941114909699,1.46326030389798,1.23801403259069
"Anp32b",4.57157187833652,5.36128476470225,4.65964798080568,4.79064762106315,4.73865171768953,4.70438698489004,4.65964798080568,5.36128476470225,3.74382079615952,5.15270987359987
"Anxa1",2.63016471524934,5.26415501788309,0.916499517935874,5.11736812638628,2.63748242307086,4.58553374571547,0.916499517935874,5.26415501788309,1.19462178141111,8.86397020156527
"Anxa2",3.33172187223644,6.15449135538187,2.26491842276404,5.32371344670432,3.47776582202622,5.0471781226736,2.26491842276404,6.15449135538187,1.23543333896019,8.4150600640354
"Anxa6",4.28201443066013,4.46827655099877,4.22498452314815,4.4017638948601,4.50014177263038,3.82186083049591,4.22498452314815,4.46827655099877,3.04586388507465,5.67784871727915
"Aplp2",5.64442683895763,5.1116065790097,6.29869544389042,4.87213421216096,5.98071946276411,4.32000692852887,6.29869544389042,5.1116065790097,3.87145210504731,5.58544947905613
"Apoc1",1.36170423007754,6.48330014209086,1.10423399964049,3.50758914871496,1.4125541186182,5.06306397060074,1.10423399964049,6.48330014209086,0.774329281766426,2.66999582361242
"Apoe",11.1975547268824,13.1470421454826,11.1498848708678,11.9703236328703,11.3219451449833,12.3175966410551,11.1498848708678,13.1470421454826,10.3273990609017,12.2011859897041
"App",4.0210741645337,4.0968368821925,4.63189986809118,3.51501269304296,4.25326175982833,3.43938031571758,4.63189986809118,4.0968368821925,2.54390372853611,3.78793263057038
"Arg1",0.772544994080799,7.6418781575228,0.288674878543015,3.77193128146711,0.837447324743978,5.74606345733856,0.288674878543015,7.6418781575228,0.96480878576822,1.93511752589917
"Arhgdib",2.1415683433468,8.78648576649935,0.448005497100475,6.11527986749454,1.76855590807842,8.15104060769924,0.448005497100475,8.78648576649935,4.52539130198892,4.49972135419437
"Arhgef39",2.40042963584355,3.86542744091898,2.29290391680957,3.04388881690156,2.50710847599009,3.20581117924714,2.29290391680957,3.86542744091898,2.33611476332171,2.76581652166052
"Asf1b",1.4612974806022,4.47980156514965,1.05895657081481,2.94528480837146,1.49185822998947,3.64113348319779,1.05895657081481,4.47980156514965,1.6959147537744,2.35323475483468
"Aspa",1.41126759783001,3.74920285579067,2.14539179885536,1.64563464366808,1.51461964060278,2.8805009236754,2.14539179885536,3.74920285579067,0.37534159370919,0.391645839079866
"Atad2",2.22964252955995,3.51232205585304,1.95148347736557,2.95403652258994,2.35109450800317,2.85765923356092,1.95148347736557,3.51232205585304,2.01854012835297,3.21959027691119
"Atp1a1",5.98784056048877,7.37786717944861,6.95172935574618,5.66569784674848,6.07424111865187,6.79275898976013,6.95172935574618,7.37786717944861,4.64599159476348,4.63080089949334
"Atp1a3",4.31445727019768,3.82833043804554,4.52542219933938,3.94756539514164,4.68951176577805,2.91846228323756,4.52542219933938,3.82833043804554,1.17542193498645,6.86279080381217
"Atp2a3",2.26615981347894,5.03447341558904,1.06358542154227,4.35653000721482,2.37645305690943,4.03908859562768,1.06358542154227,5.03447341558904,1.40513180621107,6.49439611816951
"Atpif1",5.98611542687524,9.96735323418561,5.71445617514412,7.71678144988136,5.84218060475482,9.36786454318917,5.71445617514412,9.96735323418561,7.0683087525887,5.66456800600892
"Aurka",1.72745577550183,3.68758967348171,1.70399655265862,2.48303280723209,1.80682645759267,2.97928682323693,1.70399655265862,3.68758967348171,1.31494432006416,2.20565305490049
"Aurkb",2.6252660214743,5.67435313961577,2.36956099530582,3.99241558867478,2.74445391434847,4.58431465467644,2.36956099530582,5.67435313961577,1.60620678132545,4.3602993348949
"Avpi1",2.90821112473985,4.65070168233579,2.87184424999146,3.59346609924317,2.973211263991,4.03632865999616,2.87184424999146,4.65070168233579,2.26612020679316,3.65212929198204
"B430306N03Rik",2.23414541309736,4.38592739349781,0.276069030439684,4.75438049057299,2.30987155907504,3.63973499695907,0.276069030439684,4.38592739349781,3.01832519717674,6.93257950045947
"B4galt5",2.68420737605049,3.6755001122278,2.42723072887674,3.28079671839401,2.84598353567211,2.98279248922402,2.42723072887674,3.6755001122278,1.55852924319027,4.5294201209972
