"","other","macrophages","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","macrophages","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.606744145213548,0.916921025421658,0.798562626898371,0.998584064467772,0.64196178725417,0.916921025421658,0.606744145213548,0.84433908392099,0.741579099355205,NA,0,0,0,0,0,0,0,0,0
"macrophages",0.606744145213548,1,0.408424061997494,0.904208161095675,0.576985328499873,0.995264861774205,0.408424061997494,1,0.663760799338111,0.657264475400784,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.916921025421658,0.408424061997494,1,0.531936436071656,0.926711264304585,0.437411404915574,1,0.408424061997494,0.642108814175885,0.436308267806058,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.798562626898371,0.904208161095675,0.531936436071656,1,0.7746969332197,0.922702031369042,0.531936436071656,0.904208161095675,0.853971210275865,0.889655447060651,0,0,0,NA,0,0,0,0,0,0
"No_data",0.998584064467772,0.576985328499873,0.926711264304585,0.7746969332197,1,0.61006292455205,0.926711264304585,0.576985328499873,0.823341551733137,0.730559602574352,0,0,0,0,NA,0,0,0,0,0
"5_months",0.64196178725417,0.995264861774205,0.437411404915574,0.922702031369042,0.61006292455205,1,0.437411404915574,0.995264861774205,0.715275596811037,0.675877958514621,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.916921025421658,0.408424061997494,1,0.531936436071656,0.926711264304585,0.437411404915574,1,0.408424061997494,0.642108814175885,0.436308267806058,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.606744145213548,1,0.408424061997494,0.904208161095675,0.576985328499873,0.995264861774205,0.408424061997494,1,0.663760799338111,0.657264475400784,0,0,0,0,0,0,0,NA,0,0
"brain",0.84433908392099,0.663760799338111,0.642108814175885,0.853971210275865,0.823341551733137,0.715275596811037,0.642108814175885,0.663760799338111,1,0.711112449767228,0,0,0,0,0,0,0,0,NA,0
"blood",0.741579099355205,0.657264475400784,0.436308267806058,0.889655447060651,0.730559602574352,0.675877958514621,0.436308267806058,0.657264475400784,0.711112449767228,1,0,0,0,0,0,0,0,0,0,NA
