"","F_77_CON_SRR1931816","F_82_AD_SRR1931812","F_82_AD_SRR1931815","F_85_CON_SRR1931819","F_87_AD_SRR1931813","M_64_PD_SRR2015766","M_64_PD_SRR2015777","M_64_PD_SRR2015778","M_65_PD_SRR2015775","M_66_PD_SRR2015774","M_68_PD_SRR2015780","M_68_PD_SRR2015783","M_70_PD_SRR2015785","M_74_PD_SRR2015757","M_74_PD_SRR2015772","M_74_PD_SRR2015782","M_75_PD_SRR2015771","M_75_PD_SRR2015779","M_77_PD_SRR2015765","M_79_PD_SRR2015784","M_80_PD_SRR2015759","M_80_PD_SRR2015761","M_80_PD_SRR2015769","M_81_PD_SRR2015764","M_83_AD_SRR1931814","M_83_CON_SRR1931817","M_83_PD_SRR2015758","M_83_PD_SRR2015760","M_84_PD_SRR2015762","M_85_PD_SRR2015767","M_85_PD_SRR2015770","M_85_PD_SRR2015776","M_88_PD_SRR2015763","M_89_PD_SRR2015773","M_90_CON_SRR1931818","M_94_PD_SRR2015768","M_95_PD_SRR2015781","MF_100_AD_SRR2422926","MF_100_AD_SRR2422931","MF_106_CON_SRR1747184","MF_36_CON_SRR1747187","MF_40_CON_SRR1747172","MF_40_HD_SRR1747196","MF_43_CON_SRR1747170","MF_43_HD_SRR1747198","MF_44_CON_SRR1747173","MF_46_CON_SRR1747171","MF_46_CON_SRR1747186","MF_48_HD_SRR1747195","MF_48_HD_SRR1747205","MF_50_HD_SRR1747208","MF_50_HD_SRR1747209","MF_52_CON_SRR1747185","MF_53_CON_SRR1747168","MF_53_HD_SRR1747211","MF_54_CON_SRR1747182","MF_54_HD_SRR1747203","MF_55_CON_SRR1747188","MF_55_HD_SRR1747192","MF_55_HD_SRR1747207","MF_56_MS_SRR5724993","MF_56_MS_SRR5724994","MF_56_MS_SRR5724995","MF_56_MS_SRR5724996","MF_56_MS_SRR5724997","MF_57_CON_SRR1747169","MF_57_CON_SRR1747174","MF_57_CON_SRR1747189","MF_57_CON_SRR5724998","MF_57_CON_SRR5724999","MF_57_CON_SRR5725000","MF_57_CON_SRR5725001","MF_57_CON_SRR5725002","MF_57_HD_SRR1747202","MF_58_CON_SRR1747156","MF_59_HD_SRR1747200","MF_60_CON_SRR1747160","MF_61_CON_SRR1747155","MF_61_CON_SRR1747162","MF_61_CON_SRR1747165","MF_61_HD_SRR1747204","MF_62_CON_SRR1747163","MF_62_CON_SRR2422924","MF_63_CON_SRR1747151","MF_64_CON_SRR1747191","MF_66_CON_SRR1747152","MF_66_CON_SRR1747158","MF_66_CON_SRR1747190","MF_68_CON_SRR1747183","MF_68_HD_SRR1747199","MF_68_HD_SRR1747201","MF_69_CON_SRR1747153","MF_69_CON_SRR1747164","MF_69_CON_SRR1747177","MF_69_HD_SRR1747193","MF_69_HD_SRR1747206","MF_70_CON_SRR1747157","MF_70_CON_SRR2422925","MF_71_HD_SRR1747194","MF_72_CON_SRR2422922","MF_72_HD_SRR1747197","MF_73_CON_SRR1747143","MF_73_CON_SRR1747159","MF_74_AD_SRR2422929","MF_74_CON_SRR1747176","MF_75_HD_SRR1747210","MF_76_CON_SRR1747161","MF_76_CON_SRR1747178","MF_78_CON_SRR1747179","MF_79_CON_SRR1747150","MF_79_CON_SRR1747154","MF_79_CON_SRR2422921","MF_80_CON_SRR1747175","MF_80_CON_SRR2422919","MF_81_CON_SRR1747149","MF_82_CON_SRR1747145","MF_84_AD_SRR2422933","MF_85_AD_SRR2422928","MF_85_CON_SRR2422918","MF_86_CON_SRR1747147","MF_86_CON_SRR1747181","MF_87_CON_SRR1747180","MF_88_AD_SRR2422927","MF_88_CON_SRR1747166","MF_89_CON_SRR2422923","MF_90_CON_SRR2422920","MF_91_CON_SRR1747144","MF_91_CON_SRR1747148","MF_93_AD_SRR2422930","MF_93_AD_SRR2422934","MF_93_CON_SRR1747167","MF_97_CON_SRR1747146","MF_99_AD_SRR2422932"
"","Min.   :-3.4048  ","Min.   :-2.6117  ","Min.   :-2.6788  ","Min.   :-2.1937  ","Min.   :-3.2554  ","Min.   :-1.2280  ","Min.   :-0.5443  ","Min.   :-0.449  ","Min.   :-1.3914  ","Min.   :-1.4663  ","Min.   :-0.4751  ","Min.   :-0.8920  ","Min.   :-1.0142  ","Min.   :-0.6664  ","Min.   :-0.7261  ","Min.   :-0.4463  ","Min.   :-0.7472  ","Min.   :-0.6567  ","Min.   :-0.5587  ","Min.   :-1.0863  ","Min.   :-0.7640  ","Min.   :-2.2579  ","Min.   :-1.201  ","Min.   :-0.3148  ","Min.   :-2.1537  ","Min.   :-3.1762  ","Min.   :-0.5342  ","Min.   :-0.6748  ","Min.   :-0.7252  ","Min.   :-1.4790  ","Min.   :-0.6874  ","Min.   :-2.1519  ","Min.   :-0.8312  ","Min.   :-0.5749  ","Min.   :-2.0406  ","Min.   :-0.6254  ","Min.   :-0.6873  ","Min.   :-1.8359  ","Min.   :-1.2983  ","Min.   :-0.7898  ","Min.   :-1.1882  ","Min.   :-0.9902  ","Min.   :-0.9234  ","Min.   :-1.0713  ","Min.   :-0.9909  ","Min.   :-1.1410  ","Min.   :-1.0361  ","Min.   :-0.9847  ","Min.   :-0.5163  ","Min.   :-1.0953  ","Min.   :-0.6417  ","Min.   :-0.7170  ","Min.   :-0.6083  ","Min.   :-1.6740  ","Min.   :-0.7532  ","Min.   :-1.0703  ","Min.   :-0.8717  ","Min.   :-0.6429  ","Min.   :-1.1689  ","Min.   :-0.9971  ","Min.   :-1.7050  ","Min.   :-2.0763  ","Min.   :-2.3760  ","Min.   :-2.0199  ","Min.   :-1.5339  ","Min.   :-0.7271  ","Min.   :-1.1067  ","Min.   :-0.8087  ","Min.   :-1.2388  ","Min.   :-3.6156  ","Min.   :-2.4039  ","Min.   :-3.4540  ","Min.   :-2.2307  ","Min.   :-0.6771  ","Min.   :-0.7064  ","Min.   :-0.7952  ","Min.   :-1.1532  ","Min.   :-1.2463  ","Min.   :-0.6319  ","Min.   :-1.2522  ","Min.   :-0.6109  ","Min.   :-1.0810  ","Min.   :-1.6398  ","Min.   :-0.725  ","Min.   :-0.7897  ","Min.   :-0.9349  ","Min.   :-0.5877  ","Min.   :-0.8068  ","Min.   :-0.5332  ","Min.   :-0.8759  ","Min.   :-0.3065  ","Min.   :-1.2965  ","Min.   :-0.6660  ","Min.   :-0.7307  ","Min.   :-0.7199  ","Min.   :-0.5367  ","Min.   :-0.6673  ","Min.   :-1.8345  ","Min.   :-1.5544  ","Min.   :-1.1386  ","Min.   :-1.1872  ","Min.   :-0.4627  ","Min.   :-0.9567  ","Min.   :-1.4551  ","Min.   :-0.9643  ","Min.   :-1.1783  ","Min.   :-2.2457  ","Min.   :-0.3386  ","Min.   :-0.4464  ","Min.   :-0.4425  ","Min.   :-0.6227  ","Min.   :-1.3101  ","Min.   :-0.5272  ","Min.   :-1.5663  ","Min.   :-0.9010  ","Min.   :-0.4515  ","Min.   :-1.3153  ","Min.   :-1.8331  ","Min.   :-1.8437  ","Min.   :-0.993  ","Min.   :-1.6779  ","Min.   :-1.0850  ","Min.   :-1.6951  ","Min.   :-0.4975  ","Min.   :-1.6667  ","Min.   :-1.4268  ","Min.   :-3.0828  ","Min.   :-0.6382  ","Min.   :-1.4639  ","Min.   :-1.3471  ","Min.   :-0.5425  ","Min.   :-0.8417  ","Min.   :-1.431  "
"","1st Qu.: 0.3949  ","1st Qu.: 0.4075  ","1st Qu.: 0.4706  ","1st Qu.: 0.4234  ","1st Qu.: 0.4554  ","1st Qu.: 0.3778  ","1st Qu.: 0.3832  ","1st Qu.: 0.365  ","1st Qu.: 0.4031  ","1st Qu.: 0.3872  ","1st Qu.: 0.3798  ","1st Qu.: 0.3927  ","1st Qu.: 0.3677  ","1st Qu.: 0.3822  ","1st Qu.: 0.3841  ","1st Qu.: 0.3821  ","1st Qu.: 0.3852  ","1st Qu.: 0.3701  ","1st Qu.: 0.3591  ","1st Qu.: 0.3801  ","1st Qu.: 0.3901  ","1st Qu.: 0.3868  ","1st Qu.: 0.377  ","1st Qu.: 0.3924  ","1st Qu.: 0.4702  ","1st Qu.: 0.4053  ","1st Qu.: 0.3828  ","1st Qu.: 0.3805  ","1st Qu.: 0.3837  ","1st Qu.: 0.3634  ","1st Qu.: 0.3855  ","1st Qu.: 0.3698  ","1st Qu.: 0.3817  ","1st Qu.: 0.3885  ","1st Qu.: 0.3894  ","1st Qu.: 0.3862  ","1st Qu.: 0.3757  ","1st Qu.: 0.4407  ","1st Qu.: 0.4123  ","1st Qu.: 0.3919  ","1st Qu.: 0.3746  ","1st Qu.: 0.3697  ","1st Qu.: 0.3774  ","1st Qu.: 0.3649  ","1st Qu.: 0.3951  ","1st Qu.: 0.3628  ","1st Qu.: 0.3929  ","1st Qu.: 0.3761  ","1st Qu.: 0.3877  ","1st Qu.: 0.3678  ","1st Qu.: 0.3621  ","1st Qu.: 0.3843  ","1st Qu.: 0.3736  ","1st Qu.: 0.3515  ","1st Qu.: 0.3699  ","1st Qu.: 0.3698  ","1st Qu.: 0.3813  ","1st Qu.: 0.3635  ","1st Qu.: 0.3582  ","1st Qu.: 0.3815  ","1st Qu.: 0.3836  ","1st Qu.: 0.4005  ","1st Qu.: 0.3598  ","1st Qu.: 0.4145  ","1st Qu.: 0.4219  ","1st Qu.: 0.3692  ","1st Qu.: 0.3769  ","1st Qu.: 0.3849  ","1st Qu.: 0.4457  ","1st Qu.: 0.4237  ","1st Qu.: 0.4059  ","1st Qu.: 0.4151  ","1st Qu.: 0.3941  ","1st Qu.: 0.4028  ","1st Qu.: 0.3651  ","1st Qu.: 0.3668  ","1st Qu.: 0.3853  ","1st Qu.: 0.3573  ","1st Qu.: 0.3969  ","1st Qu.: 0.3725  ","1st Qu.: 0.3713  ","1st Qu.: 0.3753  ","1st Qu.: 0.4017  ","1st Qu.: 0.382  ","1st Qu.: 0.3732  ","1st Qu.: 0.3641  ","1st Qu.: 0.3687  ","1st Qu.: 0.3610  ","1st Qu.: 0.3880  ","1st Qu.: 0.3615  ","1st Qu.: 0.4056  ","1st Qu.: 0.3753  ","1st Qu.: 0.3591  ","1st Qu.: 0.3683  ","1st Qu.: 0.3770  ","1st Qu.: 0.3950  ","1st Qu.: 0.3668  ","1st Qu.: 0.4179  ","1st Qu.: 0.3348  ","1st Qu.: 0.3914  ","1st Qu.: 0.3934  ","1st Qu.: 0.3885  ","1st Qu.: 0.3594  ","1st Qu.: 0.4191  ","1st Qu.: 0.3614  ","1st Qu.: 0.3626  ","1st Qu.: 0.3769  ","1st Qu.: 0.3764  ","1st Qu.: 0.3964  ","1st Qu.: 0.3750  ","1st Qu.: 0.3814  ","1st Qu.: 0.4195  ","1st Qu.: 0.3705  ","1st Qu.: 0.4465  ","1st Qu.: 0.3896  ","1st Qu.: 0.3766  ","1st Qu.: 0.4205  ","1st Qu.: 0.4339  ","1st Qu.: 0.4197  ","1st Qu.: 0.372  ","1st Qu.: 0.3714  ","1st Qu.: 0.3813  ","1st Qu.: 0.4213  ","1st Qu.: 0.3772  ","1st Qu.: 0.4042  ","1st Qu.: 0.4057  ","1st Qu.: 0.3704  ","1st Qu.: 0.3761  ","1st Qu.: 0.4246  ","1st Qu.: 0.3979  ","1st Qu.: 0.3899  ","1st Qu.: 0.3854  ","1st Qu.: 0.389  "
"","Median : 1.1655  ","Median : 1.1988  ","Median : 1.2784  ","Median : 1.2065  ","Median : 1.2445  ","Median : 1.2030  ","Median : 1.1874  ","Median : 1.134  ","Median : 1.1831  ","Median : 1.1724  ","Median : 1.1658  ","Median : 1.1645  ","Median : 1.1848  ","Median : 1.1425  ","Median : 1.1413  ","Median : 1.1514  ","Median : 1.1728  ","Median : 1.1490  ","Median : 1.2115  ","Median : 1.1551  ","Median : 1.1822  ","Median : 1.1355  ","Median : 1.186  ","Median : 1.1514  ","Median : 1.2460  ","Median : 1.2232  ","Median : 1.1459  ","Median : 1.1708  ","Median : 1.1537  ","Median : 1.1715  ","Median : 1.1627  ","Median : 1.1207  ","Median : 1.2067  ","Median : 1.1471  ","Median : 1.1789  ","Median : 1.1498  ","Median : 1.1713  ","Median : 1.1981  ","Median : 1.1576  ","Median : 1.1970  ","Median : 1.1924  ","Median : 1.2174  ","Median : 1.1953  ","Median : 1.1917  ","Median : 1.1838  ","Median : 1.1799  ","Median : 1.1590  ","Median : 1.1418  ","Median : 1.1883  ","Median : 1.1546  ","Median : 1.1981  ","Median : 1.1624  ","Median : 1.1449  ","Median : 1.1770  ","Median : 1.1496  ","Median : 1.1556  ","Median : 1.1359  ","Median : 1.1675  ","Median : 1.1835  ","Median : 1.1925  ","Median : 1.1614  ","Median : 1.2099  ","Median : 1.1254  ","Median : 1.2065  ","Median : 1.2088  ","Median : 1.2599  ","Median : 1.2067  ","Median : 1.1448  ","Median : 1.2385  ","Median : 1.1920  ","Median : 1.1749  ","Median : 1.1856  ","Median : 1.1707  ","Median : 1.2028  ","Median : 1.1521  ","Median : 1.1974  ","Median : 1.1643  ","Median : 1.1672  ","Median : 1.1510  ","Median : 1.1804  ","Median : 1.1943  ","Median : 1.1778  ","Median : 1.1554  ","Median : 1.132  ","Median : 1.1786  ","Median : 1.2293  ","Median : 1.1008  ","Median : 1.1776  ","Median : 1.1623  ","Median : 1.1938  ","Median : 1.1676  ","Median : 1.1666  ","Median : 1.1567  ","Median : 1.1860  ","Median : 1.1591  ","Median : 1.1303  ","Median : 1.1744  ","Median : 1.1499  ","Median : 1.1824  ","Median : 1.1676  ","Median : 1.2573  ","Median : 1.1508  ","Median : 1.1397  ","Median : 1.1908  ","Median : 1.2286  ","Median : 1.1418  ","Median : 1.1631  ","Median : 1.1640  ","Median : 1.1648  ","Median : 1.1518  ","Median : 1.1616  ","Median : 1.1574  ","Median : 1.1694  ","Median : 1.2305  ","Median : 1.1594  ","Median : 1.1591  ","Median : 1.1864  ","Median : 1.2100  ","Median : 1.1873  ","Median : 1.176  ","Median : 1.2196  ","Median : 1.1821  ","Median : 1.1717  ","Median : 1.1534  ","Median : 1.1755  ","Median : 1.1947  ","Median : 1.1780  ","Median : 1.1646  ","Median : 1.2272  ","Median : 1.1773  ","Median : 1.1316  ","Median : 1.1648  ","Median : 1.154  "
"","Mean   : 1.6561  ","Mean   : 1.6559  ","Mean   : 1.6887  ","Mean   : 1.6697  ","Mean   : 1.6860  ","Mean   : 1.6671  ","Mean   : 1.6720  ","Mean   : 1.656  ","Mean   : 1.6728  ","Mean   : 1.6719  ","Mean   : 1.6699  ","Mean   : 1.6696  ","Mean   : 1.6749  ","Mean   : 1.6584  ","Mean   : 1.6695  ","Mean   : 1.6691  ","Mean   : 1.6695  ","Mean   : 1.6570  ","Mean   : 1.6747  ","Mean   : 1.6685  ","Mean   : 1.6736  ","Mean   : 1.6665  ","Mean   : 1.688  ","Mean   : 1.6696  ","Mean   : 1.6816  ","Mean   : 1.6639  ","Mean   : 1.6627  ","Mean   : 1.6694  ","Mean   : 1.6688  ","Mean   : 1.6688  ","Mean   : 1.6738  ","Mean   : 1.6577  ","Mean   : 1.6719  ","Mean   : 1.6736  ","Mean   : 1.6531  ","Mean   : 1.6734  ","Mean   : 1.6728  ","Mean   : 1.6721  ","Mean   : 1.6652  ","Mean   : 1.6782  ","Mean   : 1.6743  ","Mean   : 1.6733  ","Mean   : 1.6744  ","Mean   : 1.6702  ","Mean   : 1.6769  ","Mean   : 1.6719  ","Mean   : 1.6661  ","Mean   : 1.6595  ","Mean   : 1.6764  ","Mean   : 1.6614  ","Mean   : 1.6741  ","Mean   : 1.6672  ","Mean   : 1.6623  ","Mean   : 1.6649  ","Mean   : 1.6687  ","Mean   : 1.6637  ","Mean   : 1.6630  ","Mean   : 1.6664  ","Mean   : 1.6701  ","Mean   : 1.6840  ","Mean   : 1.6553  ","Mean   : 1.6767  ","Mean   : 1.6323  ","Mean   : 1.6751  ","Mean   : 1.6855  ","Mean   : 1.6812  ","Mean   : 1.6786  ","Mean   : 1.6702  ","Mean   : 1.6874  ","Mean   : 1.6698  ","Mean   : 1.6776  ","Mean   : 1.6680  ","Mean   : 1.6660  ","Mean   : 1.6814  ","Mean   : 1.6729  ","Mean   : 1.6724  ","Mean   : 1.6685  ","Mean   : 1.6587  ","Mean   : 1.6676  ","Mean   : 1.6736  ","Mean   : 1.6777  ","Mean   : 1.6702  ","Mean   : 1.6572  ","Mean   : 1.662  ","Mean   : 1.6727  ","Mean   : 1.6745  ","Mean   : 1.6536  ","Mean   : 1.6656  ","Mean   : 1.6709  ","Mean   : 1.6729  ","Mean   : 1.6736  ","Mean   : 1.6676  ","Mean   : 1.6676  ","Mean   : 1.6764  ","Mean   : 1.6719  ","Mean   : 1.6690  ","Mean   : 1.6682  ","Mean   : 1.6616  ","Mean   : 1.6639  ","Mean   : 1.6672  ","Mean   : 1.6772  ","Mean   : 1.6658  ","Mean   : 1.6576  ","Mean   : 1.6729  ","Mean   : 1.6725  ","Mean   : 1.6570  ","Mean   : 1.6706  ","Mean   : 1.6642  ","Mean   : 1.6731  ","Mean   : 1.6617  ","Mean   : 1.6694  ","Mean   : 1.6621  ","Mean   : 1.6670  ","Mean   : 1.6896  ","Mean   : 1.6589  ","Mean   : 1.6625  ","Mean   : 1.6663  ","Mean   : 1.6769  ","Mean   : 1.6703  ","Mean   : 1.673  ","Mean   : 1.6710  ","Mean   : 1.6733  ","Mean   : 1.6686  ","Mean   : 1.6702  ","Mean   : 1.6617  ","Mean   : 1.6691  ","Mean   : 1.6679  ","Mean   : 1.6631  ","Mean   : 1.6862  ","Mean   : 1.6701  ","Mean   : 1.6674  ","Mean   : 1.6740  ","Mean   : 1.662  "
"","3rd Qu.: 2.5101  ","3rd Qu.: 2.5197  ","3rd Qu.: 2.6048  ","3rd Qu.: 2.5364  ","3rd Qu.: 2.5583  ","3rd Qu.: 2.5328  ","3rd Qu.: 2.5459  ","3rd Qu.: 2.517  ","3rd Qu.: 2.5163  ","3rd Qu.: 2.5338  ","3rd Qu.: 2.5371  ","3rd Qu.: 2.5194  ","3rd Qu.: 2.5482  ","3rd Qu.: 2.4952  ","3rd Qu.: 2.5221  ","3rd Qu.: 2.5324  ","3rd Qu.: 2.5222  ","3rd Qu.: 2.4929  ","3rd Qu.: 2.5553  ","3rd Qu.: 2.5190  ","3rd Qu.: 2.5306  ","3rd Qu.: 2.5172  ","3rd Qu.: 2.569  ","3rd Qu.: 2.5228  ","3rd Qu.: 2.5203  ","3rd Qu.: 2.5234  ","3rd Qu.: 2.5115  ","3rd Qu.: 2.5449  ","3rd Qu.: 2.5153  ","3rd Qu.: 2.5526  ","3rd Qu.: 2.5187  ","3rd Qu.: 2.4952  ","3rd Qu.: 2.5321  ","3rd Qu.: 2.5301  ","3rd Qu.: 2.5045  ","3rd Qu.: 2.5305  ","3rd Qu.: 2.5317  ","3rd Qu.: 2.5110  ","3rd Qu.: 2.5033  ","3rd Qu.: 2.5183  ","3rd Qu.: 2.5457  ","3rd Qu.: 2.5423  ","3rd Qu.: 2.5517  ","3rd Qu.: 2.5391  ","3rd Qu.: 2.5345  ","3rd Qu.: 2.5553  ","3rd Qu.: 2.4992  ","3rd Qu.: 2.5081  ","3rd Qu.: 2.5439  ","3rd Qu.: 2.5316  ","3rd Qu.: 2.5600  ","3rd Qu.: 2.5196  ","3rd Qu.: 2.5143  ","3rd Qu.: 2.5498  ","3rd Qu.: 2.5219  ","3rd Qu.: 2.5236  ","3rd Qu.: 2.5011  ","3rd Qu.: 2.5375  ","3rd Qu.: 2.5524  ","3rd Qu.: 2.5723  ","3rd Qu.: 2.5207  ","3rd Qu.: 2.5425  ","3rd Qu.: 2.5056  ","3rd Qu.: 2.5353  ","3rd Qu.: 2.5576  ","3rd Qu.: 2.5617  ","3rd Qu.: 2.5397  ","3rd Qu.: 2.5230  ","3rd Qu.: 2.5649  ","3rd Qu.: 2.5277  ","3rd Qu.: 2.5150  ","3rd Qu.: 2.5033  ","3rd Qu.: 2.5107  ","3rd Qu.: 2.5377  ","3rd Qu.: 2.5390  ","3rd Qu.: 2.5381  ","3rd Qu.: 2.5230  ","3rd Qu.: 2.5282  ","3rd Qu.: 2.4950  ","3rd Qu.: 2.5426  ","3rd Qu.: 2.5347  ","3rd Qu.: 2.5247  ","3rd Qu.: 2.4895  ","3rd Qu.: 2.487  ","3rd Qu.: 2.5391  ","3rd Qu.: 2.5363  ","3rd Qu.: 2.4645  ","3rd Qu.: 2.5312  ","3rd Qu.: 2.5227  ","3rd Qu.: 2.5605  ","3rd Qu.: 2.5115  ","3rd Qu.: 2.5387  ","3rd Qu.: 2.5461  ","3rd Qu.: 2.5514  ","3rd Qu.: 2.5496  ","3rd Qu.: 2.5168  ","3rd Qu.: 2.5305  ","3rd Qu.: 2.4978  ","3rd Qu.: 2.5612  ","3rd Qu.: 2.5389  ","3rd Qu.: 2.5338  ","3rd Qu.: 2.5055  ","3rd Qu.: 2.5237  ","3rd Qu.: 2.5246  ","3rd Qu.: 2.5528  ","3rd Qu.: 2.5038  ","3rd Qu.: 2.5182  ","3rd Qu.: 2.5220  ","3rd Qu.: 2.5294  ","3rd Qu.: 2.5270  ","3rd Qu.: 2.5203  ","3rd Qu.: 2.4803  ","3rd Qu.: 2.5399  ","3rd Qu.: 2.5793  ","3rd Qu.: 2.5136  ","3rd Qu.: 2.5263  ","3rd Qu.: 2.5184  ","3rd Qu.: 2.5140  ","3rd Qu.: 2.5201  ","3rd Qu.: 2.545  ","3rd Qu.: 2.5323  ","3rd Qu.: 2.5476  ","3rd Qu.: 2.5285  ","3rd Qu.: 2.5223  ","3rd Qu.: 2.5071  ","3rd Qu.: 2.5407  ","3rd Qu.: 2.5351  ","3rd Qu.: 2.5347  ","3rd Qu.: 2.5680  ","3rd Qu.: 2.5461  ","3rd Qu.: 2.4858  ","3rd Qu.: 2.5439  ","3rd Qu.: 2.523  "
"","Max.   :17.4771  ","Max.   :16.7908  ","Max.   :16.8350  ","Max.   :17.1525  ","Max.   :17.2951  ","Max.   :17.1267  ","Max.   :17.0822  ","Max.   :17.104  ","Max.   :17.3745  ","Max.   :17.4135  ","Max.   :17.0331  ","Max.   :16.7040  ","Max.   :17.1253  ","Max.   :17.3008  ","Max.   :17.2124  ","Max.   :17.4151  ","Max.   :16.9391  ","Max.   :17.0412  ","Max.   :17.5273  ","Max.   :17.0689  ","Max.   :16.8211  ","Max.   :17.0749  ","Max.   :16.819  ","Max.   :17.3377  ","Max.   :16.8887  ","Max.   :17.1051  ","Max.   :16.9747  ","Max.   :17.0949  ","Max.   :16.7955  ","Max.   :16.7367  ","Max.   :17.0544  ","Max.   :17.3723  ","Max.   :16.9240  ","Max.   :17.1573  ","Max.   :17.1410  ","Max.   :16.9874  ","Max.   :16.8091  ","Max.   :17.0751  ","Max.   :17.0974  ","Max.   :17.1662  ","Max.   :17.2042  ","Max.   :17.1978  ","Max.   :16.7641  ","Max.   :17.1343  ","Max.   :16.9968  ","Max.   :17.0884  ","Max.   :17.0509  ","Max.   :16.9254  ","Max.   :16.9365  ","Max.   :17.0203  ","Max.   :17.2237  ","Max.   :17.3375  ","Max.   :16.9850  ","Max.   :17.0419  ","Max.   :16.9607  ","Max.   :17.2013  ","Max.   :16.9921  ","Max.   :16.9989  ","Max.   :16.8582  ","Max.   :17.0618  ","Max.   :17.5360  ","Max.   :16.9866  ","Max.   :16.9577  ","Max.   :17.2967  ","Max.   :16.7281  ","Max.   :17.2929  ","Max.   :17.2653  ","Max.   :17.2433  ","Max.   :16.9134  ","Max.   :16.9166  ","Max.   :17.2972  ","Max.   :17.1544  ","Max.   :17.0502  ","Max.   :16.6901  ","Max.   :17.3650  ","Max.   :17.0990  ","Max.   :16.9446  ","Max.   :17.2103  ","Max.   :17.2453  ","Max.   :17.0221  ","Max.   :16.9659  ","Max.   :17.2726  ","Max.   :17.0948  ","Max.   :16.846  ","Max.   :16.9521  ","Max.   :17.1323  ","Max.   :17.2603  ","Max.   :16.8407  ","Max.   :17.1238  ","Max.   :17.1382  ","Max.   :16.8692  ","Max.   :17.2103  ","Max.   :16.8276  ","Max.   :17.1654  ","Max.   :16.8974  ","Max.   :17.1904  ","Max.   :16.9394  ","Max.   :17.2063  ","Max.   :17.2880  ","Max.   :17.0621  ","Max.   :16.9856  ","Max.   :17.1333  ","Max.   :17.0835  ","Max.   :17.0969  ","Max.   :17.1730  ","Max.   :17.0118  ","Max.   :17.0732  ","Max.   :17.0309  ","Max.   :17.2989  ","Max.   :17.2286  ","Max.   :17.0359  ","Max.   :16.9406  ","Max.   :17.4009  ","Max.   :16.9567  ","Max.   :16.9521  ","Max.   :17.0903  ","Max.   :17.0542  ","Max.   :16.9549  ","Max.   :17.1221  ","Max.   :17.194  ","Max.   :17.2520  ","Max.   :17.0347  ","Max.   :17.2417  ","Max.   :17.1475  ","Max.   :17.1883  ","Max.   :17.0233  ","Max.   :17.0652  ","Max.   :17.2830  ","Max.   :17.1188  ","Max.   :17.0760  ","Max.   :17.0737  ","Max.   :16.7843  ","Max.   :17.114  "
