"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"HuAgeMSNDsplit_04","MSbyO_FC1.25__","User",8.63294388636629e-66
"HuAgeMSNDsplit_18","PDbyO_FC1.25__","User",1.51770263478239e-24
"HuAgeMSNDsplit_08","ADbyO_FC1.25__","User",3.33224301367734e-23
"HuAgeMSNDsplit_03","PDbyO_FC1.25__","User",1.50307354584224e-21
"HuAgeMSNDsplit_04","ADbyO_FC1.25__","User",5.91602385068856e-21
"HuAgeMSNDsplit_22","MSbyO_FC1.25__","User",8.0751107306381e-20
"HuAgeMSNDsplit_09","HDbyO_FC1.25__","User",5.87805408214961e-19
"HuAgeMSNDsplit_10","MSbyO_FC1.25__","User",4.78601291730235e-14
"HuAgeMSNDsplit_04","HDbyO_FC1.25__","User",8.51767023093558e-10
"HuAgeMSNDsplit_17","PDbyO_FC1.25__","User",6.81114036583831e-07
"HuAgeMSNDsplit_16","MSbyO_FC1.25__","User",0.000750925718775177
"HuAgeMSNDsplit_22","ADbyO_FC1.25__","User",0.0114235778452368
"HuAgeMSNDsplit_22","PDbyO_FC1.25__","User",0.0190399534186125
"HuAgeMSNDsplit_02","HDbyO_FC1.25__","User",0.0470058820548255
