"","HuAgeMSNDsplit_09....HDbyO_FC1.25__"
"1","ARHGDIA"
"2","BTBD2"
"3","CNOT3"
"4","CNTFR"
"5","DBN1"
"6","FKBP8"
"7","GIT1"
"8","GRIN1"
"9","HSF1"
"10","KHSRP"
"11","MAPRE3"
"12","MLF2"
"13","NEUROD2"
"14","NIN"
"15","NOVA2"
"16","PCDHGA9"
"17","PCDHGB6"
"18","PCYT1B"
"19","PHF1"
"20","PTK2B"
"21","PTMS"
"22","PTPN9"
"23","RARA"
"24","RCE1"
"25","S100A1"
"26","SF3B4"
"27","SMARCB1"
"28","SOX15"
"29","SUPT6H"
"30","TP53"
"31","ZNF580"
