"","HuAgeMSNDsplit_04....HDbyO_FC1.25__"
"1","ADORA3"
"2","AEBP1"
"3","AIF1"
"4","APBB1IP"
"5","ARHGDIB"
"6","C1QA"
"7","C1QB"
"8","C5AR1"
"9","CD14"
"10","CD180"
"11","CD37"
"12","CD4"
"13","CD74"
"14","CDKN1A"
"15","CSF1R"
"16","CSF3R"
"17","EBI3"
"18","GPSM3"
"19","IFITM1"
"20","IFITM2"
"21","LTBR"
"22","PLTP"
"23","S100A11"
"24","S100A12"
"25","S100A8"
"26","S100A9"
"27","SERPINA1"
"28","TYROBP"
"29","UCP2"
"30","WAS"
