"","HuAgeMSNDsplit_10....MSbyO_FC1.25__"
"1","ABCA1"
"2","AHCYL1"
"3","ALDH1L1"
"4","BBOX1"
"5","BCAR3"
"6","CDC42EP4"
"7","CTSH"
"8","DHRS3"
"9","DNALI1"
"10","EFEMP1"
"11","FAM107A"
"12","GJA1"
"13","ID4"
"14","ITGB5"
"15","KAL1"
"16","MAPK4"
"17","MYBPC1"
"18","NPL"
"19","NR2F1"
"20","P2RY1"
"21","PHEX"
"22","PLCD1"
"23","PLSCR4"
"24","PON2"
"25","PPAP2B"
"26","PPP1R3C"
"27","RFX2"
"28","SLC1A3"
"29","SORBS1"
"30","SOX9"
"31","SRPX2"
"32","SSPN"
"33","TNS3"
"34","TP53BP2"
"35","TRPS1"
