"","InputCategories","X","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues","Freq"
"63","HuAgeMSNDsplit_15",63,"MSbyCON_FC1.25__","User",26,5.90906994870989e-14,5.4363443528131e-12,99
"64","HuAgeMSNDsplit_15",64,"PDbyCON_FC1.25__","User",0,1,1,99
"65","HuAgeMSNDsplit_16",65,"ADbyCON_FC1.25__","User",11,7.49442603782541e-05,0.00689487195479938,80
"66","HuAgeMSNDsplit_16",66,"HDbyCON_FC1.25__","User",0,1,1,80
"67","HuAgeMSNDsplit_16",67,"MSbyCON_FC1.25__","User",0,1,1,80
"68","HuAgeMSNDsplit_16",68,"PDbyCON_FC1.25__","User",0,1,1,80
"69","HuAgeMSNDsplit_17",69,"ADbyCON_FC1.25__","User",0,1,1,80
"70","HuAgeMSNDsplit_17",70,"HDbyCON_FC1.25__","User",2,0.777420036202519,1,80
"71","HuAgeMSNDsplit_17",71,"MSbyCON_FC1.25__","User",0,1,1,80
"72","HuAgeMSNDsplit_17",72,"PDbyCON_FC1.25__","User",10,0.00240662711807819,0.221409694863194,80
"73","HuAgeMSNDsplit_18",73,"ADbyCON_FC1.25__","User",0,1,1,66
"74","HuAgeMSNDsplit_18",74,"HDbyCON_FC1.25__","User",1,0.90644950713834,1,66
"75","HuAgeMSNDsplit_18",75,"MSbyCON_FC1.25__","User",3,0.563675898203334,1,66
"76","HuAgeMSNDsplit_18",76,"PDbyCON_FC1.25__","User",32,1.20081042258535e-26,1.10474558877852e-24,66
"77","HuAgeMSNDsplit_19",77,"ADbyCON_FC1.25__","User",0,1,1,53
"78","HuAgeMSNDsplit_19",78,"HDbyCON_FC1.25__","User",0,1,1,53
"79","HuAgeMSNDsplit_19",79,"MSbyCON_FC1.25__","User",0,1,1,53
"80","HuAgeMSNDsplit_19",80,"PDbyCON_FC1.25__","User",0,1,1,53
"81","HuAgeMSNDsplit_20",81,"ADbyCON_FC1.25__","User",1,0.836360206178328,1,52
"82","HuAgeMSNDsplit_20",82,"HDbyCON_FC1.25__","User",1,0.845065183756137,1,52
"83","HuAgeMSNDsplit_20",83,"MSbyCON_FC1.25__","User",1,0.905515764209391,1,52
"84","HuAgeMSNDsplit_20",84,"PDbyCON_FC1.25__","User",8,0.00171631249594743,0.157900749627164,52
"85","HuAgeMSNDsplit_21",85,"ADbyCON_FC1.25__","User",1,0.723769751986282,1,37
"86","HuAgeMSNDsplit_21",86,"HDbyCON_FC1.25__","User",0,1,1,37
"87","HuAgeMSNDsplit_21",87,"MSbyCON_FC1.25__","User",2,0.49145106905772,1,37
"88","HuAgeMSNDsplit_21",88,"PDbyCON_FC1.25__","User",1,0.809873366834463,1,37
"89","HuAgeMSNDsplit_22",89,"ADbyCON_FC1.25__","User",9,2.94324746842307e-07,2.70778767094923e-05,29
"90","HuAgeMSNDsplit_22",90,"HDbyCON_FC1.25__","User",0,1,1,29
"91","HuAgeMSNDsplit_22",91,"MSbyCON_FC1.25__","User",0,1,1,29
"92","HuAgeMSNDsplit_22",92,"PDbyCON_FC1.25__","User",8,2.35240481240275e-05,0.00216421242741053,29
