"","tan....HuAgeMSNDsplitRnaseq_01__"
"1","ACACA"
"2","ACTR2"
"3","ANK2"
"4","BAG4"
"5","CDC27"
"6","CTPS2"
"7","EPB41L3"
"8","FEM1B"
"9","HIVEP2"
"10","MEF2C"
"11","MRPS30"
"12","NAPG"
"13","NNT"
"14","NOLC1"
"15","NR3C1"
"16","PCYOX1"
"17","PIK3CB"
"18","PITPNB"
"19","PRMT1"
"20","RAB1A"
"21","RALB"
"22","SENP2"
"23","SUMO3"
"24","SYNJ1"
"25","TIMM17A"
"26","UBL4A"
"27","VDAC1"
"28","WASL"
