"","grey60....HuAgeMSNDsplitRnaseq_01__"
"1","ABCB7"
"2","ADAM9"
"3","AKAP9"
"4","ARL6IP5"
"5","ATF6"
"6","ATP6V1G1"
"7","CASK"
"8","CHD4"
"9","DDX24"
"10","DHX9"
"11","EPRS"
"12","GNL2"
"13","HADHA"
"14","NDUFS1"
"15","PPIG"
"16","PPP2R2A"
"17","PTPN11"
"18","RABGAP1"
"19","SERINC3"
"20","SSB"
"21","TAX1BP1"
"22","TPR"
"23","UBN1"
"24","ZNF264"
