"","blue....HuAgeMSNDsplitRnaseq_10__"
"1","ALDOB"
"2","BIRC7"
"3","CCNB2"
"4","CDH3"
"5","CHRNA5"
"6","CKM"
"7","CYB5R4"
"8","FGF23"
"9","IFNA21"
"10","ITGA2B"
"11","KLRG1"
"12","NUP107"
"13","PARVB"
"14","POLQ"
"15","PRKD1"
"16","PRRG4"
"17","SLC22A14"
"18","SLC22A7"
"19","SLC7A11"
"20","SLC7A9"
"21","TOP3A"
"22","UBE2C"
