"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"yellow","HuAgeMSNDsplitRnaseq_06__","User",1.98993090663533e-84
"pink","HuAgeMSNDsplitRnaseq_12__","User",1.16750247957323e-80
"purple","HuAgeMSNDsplitRnaseq_07__","User",3.44005467706123e-54
"cyan","HuAgeMSNDsplitRnaseq_18__","User",2.87239258436935e-49
"royalblue","HuAgeMSNDsplitRnaseq_07__","User",2.3606538538798e-41
"lightyellow","HuAgeMSNDsplitRnaseq_03__","User",1.17520952220537e-35
"lightcyan","HuAgeMSNDsplitRnaseq_15__","User",6.07537935316537e-28
"red","HuAgeMSNDsplitRnaseq_08__","User",1.23554214616822e-26
"brown","HuAgeMSNDsplitRnaseq_14__","User",4.77710345271182e-20
"black","HuAgeMSNDsplitRnaseq_01__","User",1.34389128929346e-13
"magenta","HuAgeMSNDsplitRnaseq_01__","User",6.21657223012518e-07
"blue","HuAgeMSNDsplitRnaseq_24__","User",1.63143337905605e-06
"black","HuAgeMSNDsplitRnaseq_03__","User",1.18020226310627e-05
"red","HuAgeMSNDsplitRnaseq_22__","User",1.35698888244997e-05
"darkred","HuAgeMSNDsplitRnaseq_03__","User",3.67193435587798e-05
"green","HuAgeMSNDsplitRnaseq_08__","User",0.0111720976691122
"greenyellow","HuAgeMSNDsplitRnaseq_06__","User",0.0140048077758814
"cyan","HuAgeMSNDsplitRnaseq_24__","User",0.0272578159809823
