"","Module","Gene"
"FP236383.3","HuAgeMSNDsplitRnaseq_01","FP236383.3"
"RPL10P9","HuAgeMSNDsplitRnaseq_04","RPL10P9"
"RNU4-2","HuAgeMSNDsplitRnaseq_28","RNU4-2"
"PNMA6B","HuAgeMSNDsplitRnaseq_04","PNMA6B"
"FP236383.1","HuAgeMSNDsplitRnaseq_01","FP236383.1"
"MAPK8IP1P2","HuAgeMSNDsplitRnaseq_05","MAPK8IP1P2"
"F8A3","HuAgeMSNDsplitRnaseq_03","F8A3"
"MTRNR2L8","HuAgeMSNDsplitRnaseq_05","MTRNR2L8"
"RNU4-1","HuAgeMSNDsplitRnaseq_28","RNU4-1"
"RNY1","HuAgeMSNDsplitRnaseq_01","RNY1"
"RPL13P12","HuAgeMSNDsplitRnaseq_05","RPL13P12"
"RNU6-2","HuAgeMSNDsplitRnaseq_03","RNU6-2"
"MTRNR2L12","HuAgeMSNDsplitRnaseq_03","MTRNR2L12"
"AC073539.7","HuAgeMSNDsplitRnaseq_10","AC073539.7"
"HBB","HuAgeMSNDsplitRnaseq_24","HBB"
"IGKJ1","HuAgeMSNDsplitRnaseq_06","IGKJ1"
"AC007922.3","HuAgeMSNDsplitRnaseq_03","AC007922.3"
"TRGJP2","HuAgeMSNDsplitRnaseq_10","TRGJP2"
"RMRP","HuAgeMSNDsplitRnaseq_01","RMRP"
"TRBJ2-1","HuAgeMSNDsplitRnaseq_09","TRBJ2-1"
"IGHG1","HuAgeMSNDsplitRnaseq_05","IGHG1"
"SLPI","HuAgeMSNDsplitRnaseq_12","SLPI"
"AC005829.2","HuAgeMSNDsplitRnaseq_05","AC005829.2"
"IGLC2","HuAgeMSNDsplitRnaseq_05","IGLC2"
"AL731566.2","HuAgeMSNDsplitRnaseq_09","AL731566.2"
"RNU6-322P","HuAgeMSNDsplitRnaseq_01","RNU6-322P"
"MIR320D1","HuAgeMSNDsplitRnaseq_12","MIR320D1"
"MT-TN","HuAgeMSNDsplitRnaseq_08","MT-TN"
"RNU7-67P","HuAgeMSNDsplitRnaseq_17","RNU7-67P"
"S100A8","HuAgeMSNDsplitRnaseq_12","S100A8"
"HBA2","HuAgeMSNDsplitRnaseq_24","HBA2"
"MT-TF","HuAgeMSNDsplitRnaseq_12","MT-TF"
"MICF","HuAgeMSNDsplitRnaseq_02","MICF"
"TRBJ2-7","HuAgeMSNDsplitRnaseq_02","TRBJ2-7"
"AF228730.4","HuAgeMSNDsplitRnaseq_01","AF228730.4"
"AL591926.5","HuAgeMSNDsplitRnaseq_11","AL591926.5"
"TRBJ2-2P","HuAgeMSNDsplitRnaseq_10","TRBJ2-2P"
"HLA-DRB5","HuAgeMSNDsplitRnaseq_06","HLA-DRB5"
"FP671120.1","HuAgeMSNDsplitRnaseq_09","FP671120.1"
"IGLC3","HuAgeMSNDsplitRnaseq_05","IGLC3"
"SNORD3A","HuAgeMSNDsplitRnaseq_05","SNORD3A"
"TRBJ2-3","HuAgeMSNDsplitRnaseq_01","TRBJ2-3"
"RNA5SP243","HuAgeMSNDsplitRnaseq_12","RNA5SP243"
"MIR4682","HuAgeMSNDsplitRnaseq_01","MIR4682"
"RNF5P1","HuAgeMSNDsplitRnaseq_06","RNF5P1"
"RNU6ATAC32P","HuAgeMSNDsplitRnaseq_10","RNU6ATAC32P"
"NPAS4","HuAgeMSNDsplitRnaseq_15","NPAS4"
"FP671120.4","HuAgeMSNDsplitRnaseq_01","FP671120.4"
"IGKV1-5","HuAgeMSNDsplitRnaseq_05","IGKV1-5"
"RNU7-141P","HuAgeMSNDsplitRnaseq_03","RNU7-141P"
