"","brown....HuAgeMSNDsplitRnaseq_06__"
"1","ACPP"
"2","B4GALT7"
"3","CDADC1"
"4","CTSB"
"5","CX3CR1"
"6","DCTD"
"7","DGCR2"
"8","DGKQ"
"9","ELAC2"
"10","EPHA4"
"11","EPS15L1"
"12","GRK6"
"13","HOOK2"
"14","LILRA1"
"15","NAGK"
"16","NDOR1"
"17","PIK3R5"
"18","PNKP"
"19","RNF25"
"20","SMARCAL1"
"21","SORD"
"22","STX7"
"23","TAF12"
"24","TOM1"
"25","TOR1A"
"26","TRPM2"
"27","TXNRD2"
"28","ZDHHC13"
"29","ZNF354A"
