"","green....HuAgeMSNDsplitRnaseq_07__"
"1","BCAN"
"2","C5"
"3","CBX8"
"4","COL16A1"
"5","COL9A1"
"6","CYP4F11"
"7","GAS2L1"
"8","GCDH"
"9","IPP"
"10","MYO10"
"11","MYO6"
"12","NKX2-2"
"13","OPHN1"
"14","PDCL"
"15","PDGFRA"
"16","PHGDH"
"17","PLA2G6"
"18","RAPGEF3"
"19","ROBO3"
"20","SLC38A3"
"21","SOS2"
"22","SPAG9"
"23","TJP1"
"24","TRIM8"
