"","magenta....HuAgeMSNDsplitRnaseq_03__"
"1","AAMP"
"2","ACTB"
"3","ARHGDIA"
"4","CAPNS1"
"5","CES2"
"6","COPE"
"7","EEF2"
"8","FKBP8"
"9","HDAC5"
"10","MAPT"
"11","MECP2"
"12","NDFIP1"
"13","NENF"
"14","NFIX"
"15","NUTF2"
"16","PCYT2"
"17","POLR2E"
"18","PPP1R11"
"19","PPP2R1A"
"20","PTK2B"
"21","PTMS"
"22","RPS6KA4"
"23","SH3GLB2"
"24","TUBB"
"25","TXN2"
"26","USP5"
