"","brown....HuAgeMSNDsplitRnaseq_08__"
"1","B3GNT4"
"2","BASP1"
"3","CABP1"
"4","CCNF"
"5","CCNT2"
"6","CDR1"
"7","CHN1"
"8","CIB2"
"9","CRYGD"
"10","CYP2C8"
"11","CYP7B1"
"12","DST"
"13","DYNC1I1"
"14","ELAVL2"
"15","ELAVL4"
"16","GABBR2"
"17","GALT"
"18","GPR19"
"19","GRM4"
"20","HOOK1"
"21","KCNAB2"
"22","KCNN1"
"23","MATK"
"24","MYO5A"
"25","NEFH"
"26","PDE4A"
"27","PLXNA2"
"28","RFPL2"
"29","SERPINB9"
"30","SH3GL2"
"31","SRD5A1"
"32","TNFAIP6"
"33","TUBA8"
"34","VSNL1"
