"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",0,6.30903166477963e-74,1
"DEG_Limmanames",6.3090316647798e-74,0,1
"DEG_Simplenames",1,1,0
