"","astro_SRR1033783","astro_SRR1033784","endo_SRR1033795","endo_SRR1033796","macrophages_SRR1106141","macrophages_SRR1106142","macrophages_SRR1106143","macrophages_SRR1106169","macrophages_SRR1106186","macrophages_SRR1106188","microglia_SRR1033793","microglia_SRR1033794","microglia_SRR1106118","microglia_SRR1106122","microglia_SRR5483445","microglia_SRR5483446","microglia_SRR5483447","monocytes_SRR5483448","monocytes_SRR5483449","monocytes_SRR5483450","monocytes_SRR5483451","monocytes_SRR5483452","myeoligo_SRR1033791","myeoligo_SRR1033792","neuron_SRR1033785","neuron_SRR1033786","newoligo_SRR1033789","newoligo_SRR1033790","preoligo_SRR1033787","preoligo_SRR1033788"
"","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   :0.00000  ","Min.   : 0.00000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   :0.0000  ","Min.   : 0.00000  ","Min.   : 0.0000  ","Min.   : 0.0000  "
"","1st Qu.: 0.2306  ","1st Qu.: 0.282  ","1st Qu.: 0.2853  ","1st Qu.: 0.2382  ","1st Qu.: 3.608  ","1st Qu.: 3.402  ","1st Qu.: 3.451  ","1st Qu.: 3.580  ","1st Qu.: 3.283  ","1st Qu.: 3.546  ","1st Qu.: 0.4388  ","1st Qu.: 0.2895  ","1st Qu.: 0.2104  ","1st Qu.: 0.281  ","1st Qu.: 0.4437  ","1st Qu.: 0.2981  ","1st Qu.: 0.4257  ","1st Qu.: 1.575  ","1st Qu.: 1.740  ","1st Qu.: 1.840  ","1st Qu.: 1.266  ","1st Qu.: 1.380  ","1st Qu.:0.02282  ","1st Qu.: 0.05774  ","1st Qu.: 0.3294  ","1st Qu.: 0.3268  ","1st Qu.:0.0641  ","1st Qu.: 0.05205  ","1st Qu.: 0.5289  ","1st Qu.: 0.2895  "
"","Median : 2.5642  ","Median : 2.769  ","Median : 2.1453  ","Median : 2.1287  ","Median : 4.839  ","Median : 4.651  ","Median : 4.676  ","Median : 4.819  ","Median : 4.455  ","Median : 4.742  ","Median : 1.7651  ","Median : 1.4380  ","Median : 0.8595  ","Median : 1.177  ","Median : 1.6551  ","Median : 1.5807  ","Median : 1.7685  ","Median : 4.412  ","Median : 4.369  ","Median : 4.355  ","Median : 3.661  ","Median : 3.768  ","Median :0.47070  ","Median : 0.73568  ","Median : 1.9908  ","Median : 1.8328  ","Median :1.3430  ","Median : 1.19945  ","Median : 2.2581  ","Median : 2.1835  "
"","Mean   : 2.8488  ","Mean   : 2.940  ","Mean   : 2.6326  ","Mean   : 2.6049  ","Mean   : 5.316  ","Mean   : 5.131  ","Mean   : 5.198  ","Mean   : 5.280  ","Mean   : 4.992  ","Mean   : 5.255  ","Mean   : 2.4214  ","Mean   : 2.2380  ","Mean   : 1.5536  ","Mean   : 1.802  ","Mean   : 2.3653  ","Mean   : 2.2721  ","Mean   : 2.4086  ","Mean   : 4.401  ","Mean   : 4.340  ","Mean   : 4.397  ","Mean   : 3.800  ","Mean   : 3.856  ","Mean   :1.65271  ","Mean   : 1.83940  ","Mean   : 2.5247  ","Mean   : 2.4895  ","Mean   :2.1688  ","Mean   : 2.13859  ","Mean   : 2.6592  ","Mean   : 2.6252  "
"","3rd Qu.: 4.6526  ","3rd Qu.: 4.792  ","3rd Qu.: 4.3377  ","3rd Qu.: 4.2810  ","3rd Qu.: 6.703  ","3rd Qu.: 6.562  ","3rd Qu.: 6.718  ","3rd Qu.: 6.816  ","3rd Qu.: 6.360  ","3rd Qu.: 6.742  ","3rd Qu.: 3.7156  ","3rd Qu.: 3.5139  ","3rd Qu.: 2.1900  ","3rd Qu.: 2.547  ","3rd Qu.: 3.6116  ","3rd Qu.: 3.6701  ","3rd Qu.: 3.7573  ","3rd Qu.: 6.679  ","3rd Qu.: 6.455  ","3rd Qu.: 6.485  ","3rd Qu.: 5.767  ","3rd Qu.: 5.840  ","3rd Qu.:2.63377  ","3rd Qu.: 2.92336  ","3rd Qu.: 4.1108  ","3rd Qu.: 4.1454  ","3rd Qu.:3.8241  ","3rd Qu.: 3.80723  ","3rd Qu.: 4.3699  ","3rd Qu.: 4.4218  "
"","Max.   :14.5003  ","Max.   :14.066  ","Max.   :10.7891  ","Max.   :10.7492  ","Max.   :15.270  ","Max.   :14.911  ","Max.   :15.870  ","Max.   :15.978  ","Max.   :15.360  ","Max.   :15.930  ","Max.   :13.1781  ","Max.   :13.0240  ","Max.   :11.2776  ","Max.   :11.690  ","Max.   :12.9137  ","Max.   :13.0633  ","Max.   :13.1714  ","Max.   :14.872  ","Max.   :15.677  ","Max.   :15.676  ","Max.   :15.174  ","Max.   :15.241  ","Max.   :9.83672  ","Max.   :10.85404  ","Max.   :11.6775  ","Max.   :11.6462  ","Max.   :9.6716  ","Max.   :10.00056  ","Max.   :12.6341  ","Max.   :12.5131  "
