"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.20886897229628,0.474510183113489,0.219247767074487,NA,3.06944555630295e-05,0,1.18444076919744e-05
"peritoneum",0.20886897229628,1,0.616620181687527,0.695335333206628,3.06944555630295e-05,NA,0,0
"brain",0.474510183113489,0.616620181687527,1,0.660773700711439,0,0,NA,0
"blood",0.219247767074487,0.695335333206628,0.660773700711439,1,1.18444076919744e-05,0,0,NA
