"","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1700047M11Rik",1.7251124965389,6.40551665855108,2.34447759930574,1.76821855186943,2.12201642667587,1.80372772916528,2.34447759930574,2.34907646254322,0.114106607011668,2.72530100391866
"1810041L15Rik",1.00911146787119,6.87851925158606,2.90859822205525,0.0807365309245007,1.90110910924168,0.0234699000310679,2.90859822205525,0.0138193985547426,0.0975649236896392,0.144208697003072
"2010203P06Rik",0.0748412101056963,2.13082356146775,0.454085786135356,0,0.288963682086136,0,0.454085786135356,0,0,0
"2210011C24Rik",1.07381463328589,5.95809964883224,2.3536713856807,0.564475601883722,1.9083185922577,0,2.3536713856807,0,0.862472496888256,0.943849429139653
"4933430A20Rik",0.080769840158645,1.54950624217592,0.274230229143491,0.0950840500490649,0.243662182217905,0,0.274230229143491,0,0.0751079024567624,0.229161057700245
"5430431A17Rik",1.01228371319193,2.15294449629536,0.606921829861919,1.50955795899361,1.2109968593448,0.750987757047386,0.606921829861919,0.745159235142758,0.969776218866202,2.96661816774205
"9630041A04Rik",0.187263515043312,1.55104673055533,0.462720792079597,0.116711299575564,0.350452457493802,0.0794397271824668,0.462720792079597,0.0882084451388602,0.0726592961630555,0.194966728312117
"AC122356.1",0.455279292688001,4.60909189999203,1.29080452118662,0.243421293664716,0.963286473623972,0.0967126969400865,1.29080452118662,0.128950262586782,0.074362317490592,0.54984550713236
"AC157572.1",0.449465571977011,1.84316110516868,0.527594629794184,0.555314588035944,0.659311968300557,0.220811865385176,0.527594629794184,0.294415820513568,0.416510022303886,1.00719767479485
"Aatk",2.90607221947886,8.22343068781535,4.82954542205941,1.88770297576294,4.06476230179221,1.04901411020128,4.82954542205941,1.19592729449122,1.68266907270578,2.92286769634617
"Ablim2",0.589005351817935,4.37752035591116,1.64382470923416,0.13960278959039,1.131064357876,0.0454718361815508,1.64382470923416,0.0516015222260684,0.181657268303799,0.203149831714168
"Abtb2",1.58331533693552,5.08581879385012,2.6151038441416,1.11831332524452,2.4029932321096,0.204826989435445,2.6151038441416,0.260915750572881,0.521676642618453,2.74382709747656
"Adamts4",1.52929230840797,9.06886158589061,4.01349008664777,0.298065412133478,2.76446744004383,0.0174530157800361,4.01349008664777,0,0.363565408484113,0.590243910343018
"Alox5",2.86204156813052,3.4812932923584,1.3095938584527,4.2978397796271,2.35554828546547,4.40971102651638,1.3095938584527,5.36371979140332,2.99339909555302,4.32322444956971
"Arhgef10",1.21809781962429,5.56856985191596,2.81758525497228,0.362355317731249,2.00527827935277,0.140969563443881,2.81758525497228,0.149588051606001,0.284289056229295,0.6957422985835
"Asb18",0.146189358997954,1.08094887803919,0.222984400558109,0.195838637512974,0.271436255137142,0.0354502743754972,0.222984400558109,0.0359183110709823,0.126553587324503,0.457028079431834
"B230206H07Rik",0.0646377155432021,1.9806841450302,0.351413282996402,0.0532148977075277,0.246373565274255,0.0438757361545572,0.351413282996402,0.0585009815394097,0,0.100086494816797
"B3gnt6",0.823054686624842,3.35563278101462,1.10326453928107,0.894443327349361,1.35258167216022,0,1.10326453928107,0,0.517826803640509,2.34439184387745
"B3gnt9",1.54113759860347,6.70834420122252,3.29322001784517,0.653966307094359,2.52411269004215,0.129757747801846,3.29322001784517,0.173010330402462,0.386850998898308,1.49822878732069
