"","other","newoligo"
"1700047M11Rik",1.7251124965389,6.40551665855108
"1810041L15Rik",1.00911146787119,6.87851925158606
"2010203P06Rik",0.0748412101056963,2.13082356146775
"2210011C24Rik",1.07381463328589,5.95809964883224
"4933430A20Rik",0.080769840158645,1.54950624217592
"5430431A17Rik",1.01228371319193,2.15294449629536
"9630041A04Rik",0.187263515043312,1.55104673055533
"AC122356.1",0.455279292688001,4.60909189999203
"AC157572.1",0.449465571977011,1.84316110516868
"Aatk",2.90607221947886,8.22343068781535
"Ablim2",0.589005351817935,4.37752035591116
"Abtb2",1.58331533693552,5.08581879385012
"Adamts4",1.52929230840797,9.06886158589061
"Alox5",2.86204156813052,3.4812932923584
"Arhgef10",1.21809781962429,5.56856985191596
"Asb18",0.146189358997954,1.08094887803919
"B230206H07Rik",0.0646377155432021,1.9806841450302
"B3gnt6",0.823054686624842,3.35563278101462
"B3gnt9",1.54113759860347,6.70834420122252
"Bace2",0.410788784774871,3.20173621260787
"Bcas1",1.18238049489055,7.94063061641535
"Bmp4",0.880244363542573,7.17524420549477
"Brca1",0.834366045524132,3.5801143103291
"C030010L15Rik",0.471794966097591,1.37736867408219
"Capn5",1.87962110253157,6.09425476224662
"Capn6",0.310697657886318,2.70136682125158
"Casr",0.230012373262382,4.03112807891729
"Cdk18",0.907368023691292,5.85315249455011
"Cdv3",5.16618213461553,7.95908757161869
"Cdv3-ps",2.62830909910343,8.65433697631407
"Chrne",0.431006660294635,3.09300057363251
"Chst3",1.44606335300574,5.49134277344794
"Chst8",0.734183033890401,2.42114230377335
"Cldn24",0.163522540602441,0.873650676031555
"Col11a2",1.76297959786891,7.54317015939935
"Col20a1",0.956884404094012,4.58543153599874
"Col2a1",0.353087377469846,3.25308329126786
"Col9a3",1.90488296971666,8.4005623609666
"Cpm",0.901598269008677,4.81594265468674
"Cpox",3.93603189553227,8.01247568258855
"Cyfip2",1.92228825068988,6.08543333707791
"Cyp27a1",2.58170413048997,4.71401644343264
"Cyp3a13",0.398343177743776,1.34400317613958
"D630045J12Rik",0.864690272203211,4.09862623106563
"Dct",0.486433377533915,4.00353670291172
"Ddc",0.536419877210217,3.37602471779628
"Dlk2",1.29427459917504,6.76307273529172
"Dnah10",0.207739359961205,2.32185820653644
"Dnaic2",0.380769159254182,2.88853096529711
"Dusp15",1.58286547772403,8.53503641538774
"Dusp9",0.853046771555612,5.71032227300442
"E2f8",1.52503270719126,4.67068644285368
"Elovl7",0.996667481244531,4.76637726526926
"Eml1",0.715332110703015,4.13746759107969
"En2",0.351571235558324,3.26923278412848
"Enpp6",0.422963954763388,6.65216299701969
"Epcam",0.31373580858343,4.37801376772285
"Erp27",0.823366490901883,2.22064723835277
"Etnk2",0.697826706428089,4.13609959105279
"Fam163a",0.309010903445952,2.60586326034583
