"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.288020860403627,NA,0.000254313834586739
"mouse_C57BL6",0.288020860403627,1,0.000254313834586739,NA
