"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.451017959116887,0.606637292373244,0.44412392143413,NA,0,0,0
"peritoneum",0.451017959116887,1,0.724503956702566,0.665560020784915,0,NA,0,0
"brain",0.606637292373244,0.724503956702566,1,0.718896201478295,0,0,NA,0
"blood",0.44412392143413,0.665560020784915,0.718896201478295,1,0,0,0,NA
