"","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.806724883091936,0.877182655259572,0.917736962021466,0.970730265281787,0.845787273888183,0.877182655259572,0.831631098629802,0.893302127411238,0.822655489565961,NA,0,0,0,0,0,0,0,0,0
"newoligo",0.806724883091936,1,0.958044033263229,0.546827340393371,0.891235686541658,0.494108725992131,0.958044033263229,0.483436193642294,0.565489915484138,0.472791369567885,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.877182655259572,0.958044033263229,1,0.615498957163938,0.947762091415806,0.555442499249092,1,0.541082961676623,0.639646984219145,0.532728912877883,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.917736962021466,0.546827340393371,0.615498957163938,1,0.812320004313638,0.931775968922637,0.615498957163938,0.920835901597631,0.938331182850336,0.91253474189258,0,0,0,NA,0,0,0,0,0,0
"No_data",0.970730265281787,0.891235686541658,0.947762091415806,0.812320004313638,1,0.69616509278345,0.947762091415806,0.680574917251173,0.819849412582887,0.764519415592841,0,0,0,0,NA,0,0,0,0,0
"5_months",0.845787273888183,0.494108725992131,0.555442499249092,0.931775968922637,0.69616509278345,1,0.555442499249092,0.993346012713934,0.837143793178138,0.729769051039131,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.877182655259572,0.958044033263229,1,0.615498957163938,0.947762091415806,0.555442499249092,1,0.541082961676623,0.639646984219145,0.532728912877883,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.831631098629802,0.483436193642294,0.541082961676623,0.920835901597631,0.680574917251173,0.993346012713934,0.541082961676623,1,0.79961911812668,0.726222164854696,0,0,0,0,0,0,0,NA,0,0
"brain",0.893302127411238,0.565489915484138,0.639646984219145,0.938331182850336,0.819849412582887,0.837143793178138,0.639646984219145,0.79961911812668,1,0.817782585985766,0,0,0,0,0,0,0,0,NA,0
"blood",0.822655489565961,0.472791369567885,0.532728912877883,0.91253474189258,0.764519415592841,0.729769051039131,0.532728912877883,0.726222164854696,0.817782585985766,1,0,0,0,0,0,0,0,0,0,NA
