"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.083504391072718,0.484584917182934,0.181050925381402,NA,0.298449985061573,1.26963328739294e-10,0.0232549358351508
"peritoneum",0.083504391072718,1,0.382234872781676,0.596433034153542,0.298449985061573,NA,7.81179726239145e-07,2.22044604925031e-16
"brain",0.484584917182934,0.382234872781676,1,0.511404279288827,1.26963328739294e-10,7.81179726239145e-07,NA,7.68096697356668e-12
"blood",0.181050925381402,0.596433034153542,0.511404279288827,1,0.0232549358351508,2.22044604925031e-16,7.68096697356668e-12,NA
