"","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1700047M11Rik",1.7251124965389,6.40551665855108,2.34447759930574,1.76821855186943,2.12201642667587,1.80372772916528,2.34447759930574,2.34907646254322,0.114106607011668,2.72530100391866
"1700110C19Rik",2.4350041401484,6.16311399351232,4.03346667243349,1.50236315606944,3.5748745017644,0.232388109045375,4.03346667243349,0,2.89909801840314,1.90846408101906
"1810041L15Rik",1.00911146787119,6.87851925158606,2.90859822205525,0.0807365309245007,1.90110910924168,0.0234699000310679,2.90859822205525,0.0138193985547426,0.0975649236896392,0.144208697003072
"2210011C24Rik",1.07381463328589,5.95809964883224,2.3536713856807,0.564475601883722,1.9083185922577,0,2.3536713856807,0,0.862472496888256,0.943849429139653
"2810410L24Rik",1.94060149461811,6.81202457693955,4.66031831101079,0.169777165564695,3.00820787303899,0.222539724541048,4.66031831101079,0.168344615721424,0.220561135576384,0.120712255364931
"2810468N07Rik",2.99007655426146,9.81825060082599,5.87942263450847,1.3154204898659,4.49345486383424,0.562829714577473,5.87942263450847,0.237336229387159,2.21889160066531,1.70565049164097
"4930402H24Rik",1.85866250504621,5.3621072339089,3.33866473948349,1.00159114102143,2.7603381802983,0.254915580318648,3.33866473948349,0.268598612383506,0.83268333649483,2.05008997991355
"5730559C18Rik",0.589098134245602,5.10851593896184,1.87105544956009,0.0323127089349524,1.20578273879718,0.0230699229078102,1.87105544956009,0,0.0462067683460431,0.0571939002458046
"AC110091.1",0.451618747482804,5.18442132348575,1.61590348161909,0.0244699271139241,1.04503034516121,0.00293749786791089,1.61590348161909,0.00391666382388118,0.0212622805957533,0.0523414895801465
"AC122356.1",0.455279292688001,4.60909189999203,1.29080452118662,0.243421293664716,0.963286473623972,0.0967126969400865,1.29080452118662,0.128950262586782,0.074362317490592,0.54984550713236
"AC140244.1",1.50209030783913,6.00993725756022,3.76906101529283,0.0819718075322831,2.45810923339165,0,3.76906101529283,0,0.262309784103306,0
"Aatk",2.90607221947886,8.22343068781535,4.82954542205941,1.88770297576294,4.06476230179221,1.04901411020128,4.82954542205941,1.19592729449122,1.68266907270578,2.92286769634617
"Abca2",4.49835132155387,9.27559795693983,6.6408795391829,3.22079496055171,5.58937673451379,2.69234309476058,6.6408795391829,3.00740538727002,2.87082522708088,3.82683218196058
"Ablim2",0.589005351817935,4.37752035591116,1.64382470923416,0.13960278959039,1.131064357876,0.0454718361815508,1.64382470923416,0.0516015222260684,0.181657268303799,0.203149831714168
"Abtb2",1.58331533693552,5.08581879385012,2.6151038441416,1.11831332524452,2.4029932321096,0.204826989435445,2.6151038441416,0.260915750572881,0.521676642618453,2.74382709747656
"Acsl1",2.69082904212825,5.1077625207309,2.98238019573727,2.73783846754568,3.34284199145657,1.50202680112602,2.98238019573727,1.58269004757518,2.7804388207209,4.08141621833506
"Acsl3",2.53513109739343,6.92169197449552,4.8437895777025,1.06337503676075,3.71765553778324,0.379829105596957,4.8437895777025,0.326859894956525,1.58916163615008,1.4214066075365
"Adam11",1.56170652975447,6.0448906402543,3.7717170608998,0.188345328814781,2.52380151510719,0.0367413476594419,3.7717170608998,0.0489884635459225,0.0862564779687432,0.457662417983448
"Adamts4",1.52929230840797,9.06886158589061,4.01349008664777,0.298065412133478,2.76446744004383,0.0174530157800361,4.01349008664777,0,0.363565408484113,0.590243910343018
"Adi1",4.72811999839009,7.55454214154977,5.49603775835435,4.40949472631633,5.1291233636459,4.33196627972654,5.49603775835435,4.34559081395683,5.36554642214476,3.5301277253193
"Ado",5.89747569656579,9.39373955795248,6.63015121235833,5.69341760292066,6.33382446840263,5.57158253936117,6.63015121235833,5.87365974930242,5.43923505724084,5.73130957294236
"Adssl1",3.5523675447936,4.31867696403027,2.27280519789898,4.76777327573098,3.42957550573391,4.08162300701691,2.27280519789898,4.8879037107017,2.83734599915294,6.55404403034415
"Agpat4",1.97394317009182,4.93747650824023,2.62609619327711,1.77375094207324,2.56482777641797,1.08989383723201,2.62609619327711,1.33121203400928,0.559766411820685,3.51878216200254
"Aldh3b1",3.66590187887191,4.54693651246582,2.5194566416501,4.77917079064023,3.63989463302717,3.95768046334343,2.5194566416501,4.53543691574881,3.40623059955961,6.44459163159056
"Alox5",2.86204156813052,3.4812932923584,1.3095938584527,4.2978397796271,2.35554828546547,4.40971102651638,1.3095938584527,5.36371979140332,2.99339909555302,4.32322444956971
"Amz1",2.68552439338794,4.64959358706792,2.6042248022826,3.00217018481511,3.43918525963562,1.10397430962681,2.6042248022826,0.332375103437456,4.0416930443493,5.16640142293409
"Apbb1",3.30903757298161,8.11402380426271,5.72398464549448,1.79658216344298,4.29116095443445,1.80944483180656,5.72398464549448,2.06934115024679,2.02929635385839,1.23655718886301
"Aplp1",3.78748463178965,11.5164898507918,8.22648423310814,0.869485633011249,5.79333996369446,0.203633773801985,8.22648423310814,0.0287168341783175,2.32519159066214,0.422702233959879
"Apod",2.13287027698668,7.02677728854782,4.5813725304771,0.602169181627705,3.11292753644377,0.661189566369959,4.5813725304771,0.324878114215999,1.03956304743236,0.497524596717098
"Arhgap35",2.14006649063795,5.69850594018656,3.63955379109013,1.27282003393587,2.98079194971602,0.717681340560392,3.63955379109013,0.847502504490362,1.42048317036493,1.63553793284141
"Arhgef10",1.21809781962429,5.56856985191596,2.81758525497228,0.362355317731249,2.00527827935277,0.140969563443881,2.81758525497228,0.149588051606001,0.284289056229295,0.6957422985835
"Arsb",1.91761409607757,5.07899772837045,2.96738205964869,1.39424008198946,2.73519129763817,0.459622699859169,2.96738205964869,0.479030630164547,2.26723622705848,1.61949527911033
"Asic1",1.47103901159185,5.43275026395436,3.32222902325885,0.34646165792854,2.30420069398609,0.170272198098322,3.32222902325885,0.18603425299383,0.236399366095951,0.64903683568278
"Aspa",1.70067723841107,4.37333840357715,2.14539179885536,1.64563464366808,1.51461964060278,2.8805009236754,2.14539179885536,3.74920285579067,0.37534159370919,0.391645839079866
"Aspdh",1.18460292953458,5.50204536255126,3.04130755576117,0.0996666857134005,2.0078623978214,0,3.04130755576117,0,0.211357096507727,0.107576297775155
"Atcay",1.16485014152345,5.29054708235791,2.86379796842937,0.193982910585081,1.94911390015775,0.0395490404877299,2.86379796842937,0.0376350844112367,0.211591755986431,0.363991456592344
"B3gnt6",0.823054686624842,3.35563278101462,1.10326453928107,0.894443327349361,1.35258167216022,0,1.10326453928107,0,0.517826803640509,2.34439184387745
"B3gnt7",1.44160677217362,5.33751555758854,2.79693044524981,0.742687156408825,2.16482415960364,0.426736153094788,2.79693044524981,0.114251550872441,1.95395200333039,0.285545036130919
"B3gnt9",1.54113759860347,6.70834420122252,3.29322001784517,0.653966307094359,2.52411269004215,0.129757747801846,3.29322001784517,0.173010330402462,0.386850998898308,1.49822878732069
"Bace1",2.66791672203279,6.79290816019244,4.43689421939123,1.63568534161411,3.83316184626311,0.494740489939315,4.43689421939123,0.524200472459168,1.77465380302896,2.8304987231852
"Bace2",0.410788784774871,3.20173621260787,1.07816599757418,0.175702152054597,0.790777054832328,0.0635578990751152,1.07816599757418,0.0403210930756854,0.104207346644149,0.409654228239739
"Bcan",3.54093311996221,11.0366894991061,8.01344936131325,0.564450956173036,5.47189984887989,0.104713710224571,8.01344936131325,0,1.78036143716763,0.0258816225860846
"Bcar1",1.69899538789642,6.57939530887331,4.12949753272866,0.182356001290319,2.72439700838021,0.0992409118102296,4.12949753272866,0.101517168117631,0.26183175040591,0.199886851981952
"Bcas1",1.18238049489055,7.94063061641535,3.27340975768783,0.197511155133525,2.20835743785662,0.0505064321150375,3.27340975768783,0.0478604827247749,0.319862374380857,0.254740742776692
"Bcat1",0.966429899516624,4.27107182541005,2.20906836071176,0.292201486707558,1.58559975829338,0.0898732693538869,2.20906836071176,0.0901453867446583,0.387811222992655,0.43905907037794
"Bcl7a",1.83931240958994,5.56865597673219,3.51735223861544,0.837195505085413,2.67304442696486,0.478885253594471,3.51735223861544,0.394296742027672,1.34562829709686,0.860241228743258
"Bmp4",0.880244363542573,7.17524420549477,2.63130112357156,0.134944678761237,1.77260593591735,0,2.63130112357156,0,0.0384145708736208,0.393408401162339
"Brca1",0.834366045524132,3.5801143103291,1.42132938329087,0.663991658078859,1.17322911642625,0.588929666744539,1.42132938329087,0.771060507882266,0.241761330163828,0.957739366229803
"C430049B03Rik",1.67954344923649,5.23067797237896,2.97428122882483,0.990539707489508,2.43125515159393,0.500119898539169,2.97428122882483,0.666826531385558,1.85914613101501,0.510389095288747
"Cacng4",1.24006456498668,5.74752209521789,3.20218980515461,0.0866371711186475,2.07794357217865,0.0627616777665663,3.20218980515461,0.0836822370220884,0.0366792245480266,0.140141038605139
"Cadm4",2.76260910123721,9.15569444904641,6.50403826404694,0.287994252254843,4.28869349405434,0.164148357942386,6.50403826404694,0.0880664053715693,0.421906412208641,0.393995508560973
"Capn5",1.87962110253157,6.09425476224662,2.9673919191406,1.45465084546306,2.19159044653466,2.07536382145186,2.9673919191406,2.7627899498038,0.164274593136495,1.17526017258074
"Car14",2.31793239952693,5.7815497924662,3.37349704224893,1.8272655112626,2.6031495303268,2.39948963806212,3.37349704224893,2.57201238572585,1.24833802746155,1.51249674570775
"Carns1",1.85998688212802,4.95895803302712,2.59214212950507,1.60672243453549,2.73853939998361,0.21871024574992,2.59214212950507,0.236002941074223,1.1818269158919,3.67648134533261
"Caskin2",2.35123018249871,7.51861794738037,5.422983670334,0.309369351253046,3.67598550021476,0,5.422983670334,0,0.194439566917173,0.795542357092575
"Casr",0.230012373262382,4.03112807891729,0.798223188299565,0.20796737331171,0.614646973827886,0.122546148120973,0.798223188299565,0.140998165846567,0.089265969034673,0.407031826546919
"Cd9",6.65631797285789,7.88811362347736,5.53247403501249,7.79365587480004,6.19781949291198,8.22513770536399,5.53247403501249,8.20534091535995,8.07613213745301,7.01715756347519
"Cdk18",0.907368023691292,5.85315249455011,2.10644617187158,0.476397702890888,1.55699546357725,0.357338681719601,2.10644617187158,0.430745138925049,0.703749428543311,0.303829053997472
"Cdv3",5.16618213461553,7.95908757161869,5.80571614426297,4.95570305579941,5.79569915351894,4.13323669188193,5.80571614426297,4.70352411537089,4.39787235287946,5.81614848723359
"Cdv3-ps",2.62830909910343,8.65433697631407,6.42966244053581,0.0553784100014279,4.13187857852383,0,6.42966244053581,0,0,0.177210912004569
