"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.321117181624602,NA,7.47930606337377e-11
"mouse_C57BL6",0.321117181624602,1,7.47930606337377e-11,NA
