"","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.859009638212967,0.9335754756694,0.816437150020715,0.983855349741586,0.719351566975099,0.9335754756694,0.691856153453018,0.811323812488053,0.690792219087696,NA,0,0,0,0,0,0,0,0,0
"newoligo",0.859009638212967,1,0.945717879787508,0.506597607942389,0.916696261479275,0.431827498839279,0.945717879787508,0.407065904910576,0.551461181831017,0.403202577916012,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.9335754756694,0.945717879787508,1,0.558655906978023,0.974721195029439,0.479625375892453,1,0.451017959116887,0.606637292373244,0.44412392143413,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.816437150020715,0.506597607942389,0.558655906978023,1,0.716984157427181,0.900913457092319,0.558655906978023,0.883824527929555,0.90901128023743,0.893504177595315,0,0,0,NA,0,0,0,0,0,0
"No_data",0.983855349741586,0.916696261479275,0.974721195029439,0.716984157427181,1,0.590766513049623,0.974721195029439,0.562053170987797,0.74040944457834,0.621534548066652,0,0,0,0,NA,0,0,0,0,0
"5_months",0.719351566975099,0.431827498839279,0.479625375892453,0.900913457092319,0.590766513049623,1,0.479625375892453,0.988181063161903,0.782777240160264,0.664701823563726,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.9335754756694,0.945717879787508,1,0.558655906978023,0.974721195029439,0.479625375892453,1,0.451017959116887,0.606637292373244,0.44412392143413,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.691856153453018,0.407065904910576,0.451017959116887,0.883824527929555,0.562053170987797,0.988181063161903,0.451017959116887,1,0.724503956702566,0.665560020784915,0,0,0,0,0,0,0,NA,0,0
"brain",0.811323812488053,0.551461181831017,0.606637292373244,0.90901128023743,0.74040944457834,0.782777240160264,0.606637292373244,0.724503956702566,1,0.718896201478295,0,0,0,0,0,0,0,0,NA,0
"blood",0.690792219087696,0.403202577916012,0.44412392143413,0.893504177595315,0.621534548066652,0.664701823563726,0.44412392143413,0.665560020784915,0.718896201478295,1,0,0,0,0,0,0,0,0,0,NA
