"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.558655906978023,NA,0
"mouse_C57BL6",0.558655906978023,1,0,NA
