"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.378585787868038,NA,1.45968748199721e-09
"mouse_C57BL6",0.378585787868038,1,1.45968748199721e-09,NA
