"","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1110002E22Rik",0.208925857742894,0.131670400997808,0.258544370495853,0.15585272699092,0.26808186531898,0.0269329727223881,0.258544370495853,0.0359106302965175,0.2478875088187,0.207748461196422
"1110002J07Rik",0.804479581468295,2.0004920650593,1.5077033416146,0.338660351789157,1.20574601869231,0,1.5077033416146,0,0.137706171414805,0.946006954310498
"1110008E08Rik",0.121989417988668,0,0.143611093774261,0.08782177442769,0.155259259258304,0,0.143611093774261,0,0,0.281029678168608
"1110017D15Rik",0.857978256887983,1.08340925892797,1.32681255161502,0.475927124256824,1.08616931859484,0.286810587704134,1.32681255161502,0.165342760318376,0.680643298505142,0.643912186734643
"1190002N15Rik",3.09413480181007,4.62770016706011,3.53689290013101,2.89841713643549,3.48917701304163,2.39116006223579,3.53689290013101,2.44332745176893,3.41929922117643,2.92364267329444
"1500009L16Rik",0.696371682898079,0.585980422682651,1.08726182141179,0.340543904171656,0.787116195175124,0.419226459082347,1.08726182141179,0.50614045636679,0.150590609793432,0.331781335915718
"1600023N17Rik",0.552061144746435,1.87576400634275,1.13982320287558,0.203232201582969,0.87314727570844,0,1.13982320287558,0,0.18291279923366,0.467430245831842
"1600029O15Rik",0.532646953701186,0.0267402784126727,0.534256708564483,0.468000083784737,0.586022677886152,0.259387043370402,0.534256708564483,0.197401003564568,0.280630661593888,0.980088402239788
"1700001L19Rik",0.347661888644646,0.163249850353838,0.537556605328303,0.158452506760096,0.418345586253657,0.107178710647163,0.537556605328303,0,0.313110810684099,0.193937210948207
"1700003E16Rik",1.26065077443976,1.3860875154437,2.00637837247628,0.623818718783304,1.61678340274859,0.312645231841458,2.00637837247628,0.381441941493233,0.828715922718705,0.709773647595989
"1700008K24Rik",0.175479396447583,0.424608820322547,0.309990783868753,0.0889231104384306,0.261938215508065,0,0.309990783868753,0,0,0.284553953402978
"1700011D18Rik",0.261454266408825,0,0.323320988802103,0.174639101013604,0.205749720146792,0.349278202027209,0.323320988802103,0.465704269369612,0,0
"1700016C15Rik",0.460698036713933,0.180872309252595,0.391906373391345,0.485912526188531,0.590051554498601,0.0350194309407624,0.391906373391345,0.0194596259826442,0.106753336644925,1.4248151959792
