"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.22968000417207,0.478181001718327,0.253158578274611,NA,0.000343421932604837,4.66293670342566e-15,7.56170116154031e-05
"peritoneum",0.22968000417207,1,0.401380838121031,0.544141720467252,0.000343421932604837,NA,1.15028875313783e-10,0
"brain",0.478181001718327,0.401380838121031,1,0.545872520605673,4.66293670342566e-15,1.15028875313783e-10,NA,0
"blood",0.253158578274611,0.544141720467252,0.545872520605673,1,7.56170116154031e-05,0,0,NA
