"","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"astro",1,0.774620016387026,0.933612922820414,0.486476122906921,0.863065919600664,0.426750433651084,0.933612922820414,0.384014302099713,0.554459995004468,0.384571465296822,NA,0,0,0,0,0,0,0,0,0
"other",0.774620016387026,1,0.874855763760388,0.894538969648232,0.973520152389822,0.795125204847151,0.874855763760388,0.75066388873101,0.872370568466303,0.792535758554997,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.933612922820414,0.874855763760388,1,0.569205862482483,0.945384617902129,0.490398822894227,1,0.440652069167701,0.639959257996503,0.465967209806549,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.486476122906921,0.894538969648232,0.569205862482483,1,0.787110356423785,0.905468344631608,0.569205862482483,0.876334184014547,0.895312689719586,0.919827651540492,0,0,0,NA,0,0,0,0,0,0
"No_data",0.863065919600664,0.973520152389822,0.945384617902129,0.787110356423785,1,0.64327094597989,0.945384617902129,0.591795022358709,0.820861335907074,0.717059732484361,0,0,0,0,NA,0,0,0,0,0
"5_months",0.426750433651084,0.795125204847151,0.490398822894227,0.905468344631608,0.64327094597989,1,0.490398822894227,0.989398859127112,0.734741650770187,0.71059233153736,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.933612922820414,0.874855763760388,1,0.569205862482483,0.945384617902129,0.490398822894227,1,0.440652069167701,0.639959257996503,0.465967209806549,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.384014302099713,0.75066388873101,0.440652069167701,0.876334184014547,0.591795022358709,0.989398859127112,0.440652069167701,1,0.6584853193577,0.692747372528156,0,0,0,0,0,0,0,NA,0,0
"brain",0.554459995004468,0.872370568466303,0.639959257996503,0.895312689719586,0.820861335907074,0.734741650770187,0.639959257996503,0.6584853193577,1,0.771980848429034,0,0,0,0,0,0,0,0,NA,0
"blood",0.384571465296822,0.792535758554997,0.465967209806549,0.919827651540492,0.717059732484361,0.71059233153736,0.465967209806549,0.692747372528156,0.771980848429034,1,0,0,0,0,0,0,0,0,0,NA
