"","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"astro",1,0.743881959441122,0.9382536549323,0.4553341399168,0.844406062854215,0.413407952574046,0.9382536549323,0.371014323875492,0.522684694419874,0.334266764887321,NA,0,0,0,0,0,0,0,0,0
"other",0.743881959441122,1,0.863350091885025,0.907224120924872,0.970890522584902,0.806002631540715,0.863350091885025,0.758220518673503,0.873713293986507,0.790505245125936,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.9382536549323,0.863350091885025,1,0.574237319963471,0.939182349488378,0.505026557644594,1,0.451628071923302,0.646748243032088,0.447572995466468,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.4553341399168,0.907224120924872,0.574237319963471,1,0.799036068435922,0.896048197621525,0.574237319963471,0.864333702993428,0.880454077963984,0.914419126062787,0,0,0,NA,0,0,0,0,0,0
"No_data",0.844406062854215,0.970890522584902,0.939182349488378,0.799036068435922,1,0.650790499909818,0.939182349488378,0.595502399003721,0.82917115381533,0.714208352429053,0,0,0,0,NA,0,0,0,0,0
"5_months",0.413407952574046,0.806002631540715,0.505026557644594,0.896048197621525,0.650790499909818,1,0.505026557644594,0.988044215563609,0.704266378290625,0.688474552741106,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.9382536549323,0.863350091885025,1,0.574237319963471,0.939182349488378,0.505026557644594,1,0.451628071923302,0.646748243032088,0.447572995466468,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.371014323875492,0.758220518673503,0.451628071923302,0.864333702993428,0.595502399003721,0.988044215563609,0.451628071923302,1,0.620564604267214,0.669491768431079,0,0,0,0,0,0,0,NA,0,0
"brain",0.522684694419874,0.873713293986507,0.646748243032088,0.880454077963984,0.82917115381533,0.704266378290625,0.646748243032088,0.620564604267214,1,0.747425210654832,0,0,0,0,0,0,0,0,NA,0
"blood",0.334266764887321,0.790505245125936,0.447572995466468,0.914419126062787,0.714208352429053,0.688474552741106,0.447572995466468,0.669491768431079,0.747425210654832,1,0,0,0,0,0,0,0,0,0,NA
