"","mouse_FVN_Swiss","mouse_C57BL6"
"1110018N20Rik",0.856592234005442,0
"1110032F04Rik",2.33651937808389,0.251235249473739
"1300002E11Rik",2.16778884242711,1.68173701510728
"1500009C09Rik",4.63125105155199,0.0872246735112066
"1600014C23Rik",0.775166459551144,0
"1700001O22Rik",1.6678516320891,0.0417369080206346
"1700003M07Rik",2.18217585607895,0.428995370604541
"1700007K13Rik",0.842347356871154,0.417161452589489
"1700016P03Rik",3.5290424113965,0.37658509732706
"1700025F24Rik",0.591467620496687,0.190868453220546
"1700027H10Rik",0.855261924486046,0.00963690113828899
"1700029I15Rik",2.10200531924688,1.06046729550507
"1700040D17Rik",1.82951628429017,0.598934965102652
"1700110C19Rik",4.03346667243349,1.50236315606944
"1810010H24Rik",3.31525863486797,1.18454652431158
"1810010K12Rik",0.304918005323418,0.0262372412007214
"1810062G17Rik",0.341808805148267,0.252002521942542
"2010007H06Rik",0.331075589769088,0.616170387418037
"2310014F06Rik",0.32605010570911,0.237598907916665
"2310022B05Rik",5.13305613264605,1.62099364156881
"2310031A07Rik",1.88611155328089,1.49515674872532
"2610035F20Rik",1.85457512672702,0.0857298285406878
"2610316D01Rik",0.941430947149042,0.29680305477674
"2700033N17Rik",2.20403674104199,0.52018464329837
"2700099C18Rik",0.779395095755253,0.199442365786596
"2810030D12Rik",0.239327015859765,0.312288055298642
"2810049E08Rik",0.618731440192453,0.135834473811285
"2810459M11Rik",3.07307358791882,0.316127450833986
"2900005J15Rik",0.890396257677686,1.43548114086245
"2900052L18Rik",3.5973318134836,0.897337027195067
"2900052N01Rik",1.40494491272389,0.321122215564733
"2900064F13Rik",2.02081352404223,0
"2900076A07Rik",2.91414224302407,1.76705935445568
"3110039M20Rik",1.06743471045041,0.154174582765009
"3110079O15Rik",0.863274003076265,0.14141535619035
"3110082J24Rik",2.14309577797119,0.167900004070416
"3110099E03Rik",0.274967872387628,0.171203439607804
"3830408C21Rik",1.05727136487935,0.377359913896215
"3830432H09Rik",0.555470656381998,0.102126167254279
"3930402G23Rik",0.948975967866577,0.0964789706119279
"4831440E17Rik",1.53029321759698,0.960114996667703
"4921504A21Rik",0.765082778834734,0.222605348756729
"4921530L21Rik",0.522612515202389,0.154318790721864
"4930402H24Rik",3.33866473948349,1.00159114102143
"4930412L05Rik",0.65573305223543,0.127971140506329
"4930426I24Rik",1.58489905050143,0.474724672543386
"4930429H19Rik",1.3504377456589,0.086151976216431
"4930432E11Rik",0.677756885394495,0.0917238627302972
"4930447K03Rik",0.529154543914196,1.13894824146529
