"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.569205862482483,NA,0
"mouse_C57BL6",0.569205862482483,1,0,NA
