"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.440395259442545,0.607953237480315,0.441084904793016,NA,0,0,0
"peritoneum",0.440395259442545,1,0.697222091001763,0.70758877505173,0,NA,0,0
"brain",0.607953237480315,0.697222091001763,1,0.773898408029846,0,0,NA,0
"blood",0.441084904793016,0.70758877505173,0.773898408029846,1,0,0,0,NA
