"","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"astro",1,0.821867301656107,0.920851773237241,0.559936350447906,0.8853555138418,0.477689418577663,0.920851773237241,0.433303205365152,0.599836874456759,0.467303618180379,NA,0,0,0,0,0,0,0,0,0
"other",0.821867301656107,1,0.918454248821722,0.872352730230082,0.981880376145121,0.755844141939472,0.918454248821722,0.709753835675219,0.849100307149506,0.776877694310041,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.920851773237241,0.918454248821722,1,0.612910636541543,0.964606613716553,0.515513739034734,1,0.467530314981384,0.649623342701775,0.524022030875858,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.559936350447906,0.872352730230082,0.612910636541543,1,0.784349788095412,0.887749382114122,0.612910636541543,0.854198250890164,0.909067347510138,0.914437288752346,0,0,0,NA,0,0,0,0,0,0
"No_data",0.8853555138418,0.981880376145121,0.964606613716553,0.784349788095412,1,0.628734688524034,0.964606613716553,0.577935566203676,0.798751549202923,0.719088271492333,0,0,0,0,NA,0,0,0,0,0
"5_months",0.477689418577663,0.755844141939472,0.515513739034734,0.887749382114122,0.628734688524034,1,0.515513739034734,0.986464030515048,0.737499720817237,0.67388387601748,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.920851773237241,0.918454248821722,1,0.612910636541543,0.964606613716553,0.515513739034734,1,0.467530314981384,0.649623342701775,0.524022030875858,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.433303205365152,0.709753835675219,0.467530314981384,0.854198250890164,0.577935566203676,0.986464030515048,0.467530314981384,1,0.655440432004737,0.653795882768666,0,0,0,0,0,0,0,NA,0,0
"brain",0.599836874456759,0.849100307149506,0.649623342701775,0.909067347510138,0.798751549202923,0.737499720817237,0.649623342701775,0.655440432004737,1,0.776970945909552,0,0,0,0,0,0,0,0,NA,0
"blood",0.467303618180379,0.776877694310041,0.524022030875858,0.914437288752346,0.719088271492333,0.67388387601748,0.524022030875858,0.653795882768666,0.776970945909552,1,0,0,0,0,0,0,0,0,0,NA
