"","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"astro",1,0.700369495605843,0.919414653495537,0.414623016934974,0.80125483212921,0.391741676156621,0.919414653495537,0.349261669592854,0.483149188616822,0.30303894850105,NA,0,0,0,0,0,0,0,0,0
"other",0.700369495605843,1,0.837376486892963,0.913723423649975,0.97030247883983,0.829466421605729,0.837376486892963,0.789461685465796,0.882570835781837,0.811648004590107,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.919414653495537,0.837376486892963,1,0.544966978223181,0.920906332379215,0.488205200444189,1,0.440395259442545,0.607953237480315,0.441084904793016,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.414623016934974,0.913723423649975,0.544966978223181,1,0.806848060664282,0.91584707645378,0.544966978223181,0.89005274872706,0.904618288889143,0.917465851404631,0,0,0,NA,0,0,0,0,0,0
"No_data",0.80125483212921,0.97030247883983,0.920906332379215,0.806848060664282,1,0.675272884137673,0.920906332379215,0.626902684980446,0.828622049300804,0.742052436957424,0,0,0,0,NA,0,0,0,0,0
"5_months",0.391741676156621,0.829466421605729,0.488205200444189,0.91584707645378,0.675272884137673,1,0.488205200444189,0.989662521939533,0.769295160822581,0.720510881402255,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.919414653495537,0.837376486892963,1,0.544966978223181,0.920906332379215,0.488205200444189,1,0.440395259442545,0.607953237480315,0.441084904793016,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.349261669592854,0.789461685465796,0.440395259442545,0.89005274872706,0.626902684980446,0.989662521939533,0.440395259442545,1,0.697222091001763,0.70758877505173,0,0,0,0,0,0,0,NA,0,0
"brain",0.483149188616822,0.882570835781837,0.607953237480315,0.904618288889143,0.828622049300804,0.769295160822581,0.607953237480315,0.697222091001763,1,0.773898408029846,0,0,0,0,0,0,0,0,NA,0
"blood",0.30303894850105,0.811648004590107,0.441084904793016,0.917465851404631,0.742052436957424,0.720510881402255,0.441084904793016,0.70758877505173,0.773898408029846,1,0,0,0,0,0,0,0,0,0,NA
