"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.440652069167701,0.639959257996503,0.465967209806549,NA,0,0,0
"peritoneum",0.440652069167701,1,0.6584853193577,0.692747372528156,0,NA,0,0
"brain",0.639959257996503,0.6584853193577,1,0.771980848429034,0,0,NA,0
"blood",0.465967209806549,0.692747372528156,0.771980848429034,1,0,0,0,NA
