"","astro","other"
"0610009B22Rik",4.90087703522961,5.08042179815547
"0610009E02Rik",1.28650773423104,0.53187708872867
"0610009L18Rik",3.945384635798,3.39564270308114
"0610009O20Rik",6.24692081766459,4.06209992630335
"0610010F05Rik",2.78854424971977,1.89907446238151
"0610012G03Rik",6.89853974291818,7.72063650893205
"0610025J13Rik",0.183591488695336,0.255465345574384
"0610030E20Rik",5.9688800244271,4.37468369003702
"0610037L13Rik",6.41735254927828,4.5600126690666
"0610039K10Rik",0.169910352191487,0.884268785882678
"0610040B10Rik",2.49065999520539,1.81413094059231
"0610040J01Rik",2.81622524292669,2.28518570865727
"0610043K17Rik",0.116101133754983,0.24857162516273
"1010001B22Rik",1.93890058467881,1.22167816669121
"1010001N08Rik",0,0.287922324311221
"1110002E22Rik",0.222564590283882,0.202433415651032
"1110002J07Rik",2.39685193270023,0.776168162351086
"1110002L01Rik",1.75704601319607,1.33710679908959
"1110004E09Rik",4.10510739404274,2.95091397003038
"1110004F10Rik",3.64289977167464,3.32240706718713
"1110006O24Rik",4.35949258945432,2.44460847105084
"1110008E08Rik",0,0.121989417988668
"1110008F13Rik",5.29471497980856,3.33862305084002
"1110008L16Rik",1.62307671871694,1.00599993976979
"1110008P14Rik",2.86150757858719,1.57304209419756
"1110012L19Rik",4.79370475273941,4.81889012767553
"1110015O18Rik",1.26648351688356,0.682395343616705
"1110017D15Rik",1.89895660476455,0.799724875042513
"1110018N20Rik",2.03793949798274,0.282729010003954
"1110019B22Rik",0,0.30345775214342
"1110019D14Rik",0.302756630192462,0.457064529800966
"1110020A21Rik",1.36535461829459,0.754431106611347
"1110025M09Rik",3.75617940036316,3.3876586607766
"1110032A03Rik",3.33439775286021,3.4612263703757
"1110032F04Rik",5.12851686805725,0.945500055308563
"1110034G24Rik",2.30228913082713,1.67365329390509
"1110035H17Rik",3.16842923445432,1.6345645757866
"1110038B12Rik",6.79828863539116,5.71732732421609
"1110038F14Rik",6.65789674768039,5.78684418268734
"1110051M20Rik",2.1597077112224,1.21228152132942
"1110059E24Rik",2.06012056780655,1.99640854398988
"1110059G10Rik",4.00685257825675,4.1529823382829
"1110060G06Rik",0.311420370542676,0.187021203655653
"1110065P20Rik",4.89040269423156,2.87088303178643
"1190001M18Rik",1.01016309922581,0.656009066194794
"1190002N15Rik",3.8071269859945,3.15274717188618
"1190007I07Rik",2.4635973568713,2.45543605291486
"1200007C13Rik",0.472608042080351,0.369724064552625
"1300002E11Rik",4.20907637326409,1.74423868889885
"1300014J16Rik",2.3172914857061,1.22957549868014
"1300017J02Rik",0.0613067958366331,0.289058986927451
"1500002C15Rik",1.04695411719908,0.869112857017307
"1500004A13Rik",1.29547905854696,0.904163389342645
"1500009C09Rik",6.82830036707854,1.87773245584822
"1500009L16Rik",1.10570342840374,0.659248611060858
"1500011B03Rik",4.2391300138143,3.62806572650568
"1500011K16Rik",6.33625369633021,6.40504128845729
"1500015A07Rik",3.2998483072712,2.134200194816
"1500015O10Rik",0.257426107972827,0.616388405807965
"1500026H17Rik",0.160022322537484,0.762855588859866
"1600002K03Rik",4.41783020521231,4.93000641054354
"1600010M07Rik",0.368214604469256,0.503497408556764
"1600012H06Rik",4.29606933757612,3.30836134654135
"1600014C10Rik",0.294900775908345,1.89276260603559
"1600014C23Rik",3.5175724073205,0.136328057824108
"1600017P15Rik",0.633185579352357,0.722818132575977
"1600020E01Rik",2.62799670001806,1.56646949913613
"1600023N17Rik",1.26279784117725,0.595844442258257
"1600027J07Rik",0,0.206857432945189
"1600029O15Rik",0.178278193505732,0.521822816908825
"1700001C19Rik",0.0455275703826804,0.493250647815364
"1700001G11Rik",1.20264356275512,0.954501890823513
"1700001G17Rik",2.08060867308729,0.881070226092463
"1700001J03Rik",1.21210960609581,0.316285118587464
"1700001K19Rik",0.144420794056285,0.876830547160058
"1700001L05Rik",0.488032162030237,0.820921847037181
"1700001L19Rik",0.370913347501281,0.332828781705543
"1700001N15Rik",0,0.180529143425401
"1700001O22Rik",3.69826558935846,0.593613649959309
"1700001P01Rik",1.11121524467042,1.00115507707122
"1700003E16Rik",1.32624221258423,1.26492543892972
"1700003I16Rik",0,0.220047663580953
"1700003M07Rik",5.34126894426966,0.954708929508522
"1700003N22Rik",4.72384230641848,2.42425949202707
"1700007E05Rik",0,0.400907837926442
"1700007G11Rik",0.0508301786973612,0.531715572403953
"1700007K13Rik",3.44743246527877,0.413306475252515
"1700007L15Rik",1.47302847504456,3.04650477483164
"1700008H02Rik",0,0.756262710422884
"1700008J07Rik",2.59524147624518,2.32808474960938
"1700008K24Rik",0.138478007244,0.195917311667479
"1700008N11Rik",0,0.259582801924896
"1700008O03Rik",0.271086911760787,0.435152058131481
"1700009J07Rik",0,0.472007640497286
"1700010B13Rik",0.0796674055878405,0.301525040814473
"1700010I14Rik",2.16278221266503,0.99959229537898
"1700010K24Rik",0.976411179527424,0.289316677706773
