"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.574237319963471,NA,0
"mouse_C57BL6",0.574237319963471,1,0,NA
