"","mouse_FVN_Swiss","mouse_C57BL6"
"1110032F04Rik",2.33651937808389,0.251235249473739
"1300002E11Rik",2.16778884242711,1.68173701510728
"1500009C09Rik",4.63125105155199,0.0872246735112066
"1600014C23Rik",0.775166459551144,0
"1700001O22Rik",1.6678516320891,0.0417369080206346
"1700003M07Rik",2.18217585607895,0.428995370604541
"1700007K13Rik",0.842347356871154,0.417161452589489
"1700016P03Rik",3.5290424113965,0.37658509732706
"1700040D17Rik",1.82951628429017,0.598934965102652
"1700109H08Rik",2.99792432092307,2.33885316299436
"1700110C19Rik",4.03346667243349,1.50236315606944
"1810010H24Rik",3.31525863486797,1.18454652431158
"1810013L24Rik",4.82327135510448,3.95723326788453
"2310031A07Rik",1.88611155328089,1.49515674872532
"2610035F20Rik",1.85457512672702,0.0857298285406878
"2700033N17Rik",2.20403674104199,0.52018464329837
"2810403A07Rik",4.6378819227784,3.26921678099078
"2810459M11Rik",3.07307358791882,0.316127450833986
"2810474O19Rik",2.22394908594375,4.00899889021417
"2900005J15Rik",0.890396257677686,1.43548114086245
"2900052N01Rik",1.40494491272389,0.321122215564733
"2900076A07Rik",2.91414224302407,1.76705935445568
"3110079O15Rik",0.863274003076265,0.14141535619035
"3110082J24Rik",2.14309577797119,0.167900004070416
"3930402G23Rik",0.948975967866577,0.0964789706119279
"4833420G17Rik",3.84671016633509,3.4912801972492
"4921530L21Rik",0.522612515202389,0.154318790721864
"4930412L05Rik",0.65573305223543,0.127971140506329
"4930426I24Rik",1.58489905050143,0.474724672543386
"4930429H19Rik",1.3504377456589,0.086151976216431
"4930432E11Rik",0.677756885394495,0.0917238627302972
"4930447K03Rik",0.529154543914196,1.13894824146529
"4930527E20Rik",1.24446235799484,0.470649955765995
"4933416E14Rik",1.03329761070084,0.209222596089918
"5930409G06Rik",2.79318124601462,0.08255431489446
"5930412G12Rik",1.04561479545457,0.0228888932279794
"6720483E21Rik",1.27784831527295,0.190836646795711
"9330132A10Rik",3.13218793658067,0.376042048946881
"9330182L06Rik",1.72504663582004,0.617301464362931
"9430041J12Rik",1.06115812961137,0.305278044494523
"A030012G06Rik",0.447535027640076,0.0149646546370752
"A2m",0.92397224745034,0.177905687856137
"A330041J22Rik",0.855091503210719,0.149677369556224
"A330048O09Rik",1.19034010400202,0.06968975747459
"A430103D13Rik",3.70472670016618,3.94704280875106
"A430105I19Rik",2.75495882154661,1.81232832241586
"A430110L20Rik",1.14353011590687,1.37147351748213
"AC112142.1",1.02467143263412,0.19604198566711
"AC122018.1",0.683765689828348,0.0580808943306094
"AC122858.2",4.76093581905432,0.0723363752820575
"AC130671.1",1.38993765917952,0.358217283269388
"AC139294.1",1.16725734034175,0.986904262231492
"AC139845.1",1.56485127330341,0.121255672259756
"AC140304.2",1.15651549272395,0.414099351756099
"AC153911.1",2.3065821917997,0.563317109168081
"AC154586.1",0.643685311072837,0.10057219765248
"AC154636.1",4.63963017881088,1.8124352665357
"AC154718.1",2.13514682496973,1.53066783930884
"AC160550.2",1.01204717495131,0.137053507992607
"AC163667.1",1.81471353069206,0.370936244636913
"AI464131",4.50778438589549,0.815617280722026
"AI849053",2.39254033694048,0.127137892776392
"AL626769.3",2.28026395063131,0.242544787781965
"AU020206",2.39330897316173,4.38237018106695
"AW011738",4.64943596405068,2.65873110547092
"Aass",0.490951547818903,0.191085098445614
"Abca1",3.34452089059823,2.37903964596808
"Abcd2",1.60213343214593,4.39949378255585
"Abhd1",2.05815403698746,0.99819879646168
"Abhd3",2.66513797621012,0.620899044849904
"Acaa2",2.80292983109775,3.96906542535258
"Acadl",3.48047481536302,3.50755644699213
"Acot1",4.73190462429301,1.07746403047286
"Acot11",0.803635716457686,0.785221769707174
"Acsbg1",3.07129940038136,0.478359852818803
"Acsf2",1.18479068569922,1.18566173921259
"Acsl6",2.65146781881614,0.236660839099629
"Acss1",2.9736559234852,2.91864202529037
"Actr3b",1.67489989657159,0.213558226963384
"Adamts1",6.62460533259202,2.09870611295923
"Adamts5",1.03756905927878,0.204881112472773
"Adcyap1r1",4.30508933020221,0.220150791792014
"Adgrb1",4.38797262267517,0.0204540932515149
"Adgrb2",4.72209186295308,0.0573836589711204
"Adgrg1",5.98304795121279,3.32601936832826
"Adgrl1",3.36929901848393,0.0623544688429189
"Adhfe1",1.24735532837308,1.14457763585212
"Adora2b",1.8907378739961,2.42031224154032
"Adra2a",4.02183628944679,0.711874395799029
"Adrb1",3.99867330130317,2.18931020522949
"Afap1l2",2.36886137386838,0.162186479364471
"Aff1",1.57056195410628,1.67171491622724
"Ager",2.12662053720349,1.55846423164958
"Agl",2.62801914860251,1.80984545082569
"Agrn",6.72183995233164,1.6929194824148
"Agt",1.31155565391171,0.643463773096029
"Aifm3",2.58897125218421,0.262971206496562
"Ajuba",1.45043891264854,1.54250816242364
"Ak3l2-ps",3.85255122378984,0
"Ak4",1.55389379608426,0.240536339884891
"Akap9",2.44710226644328,1.79035156328866
"Akr1b10",2.94621595054378,4.36399502626717
"Akt2",3.83602271611659,2.72654715235351
"Akt2-ps",8.12232758911838,0.255953059830632
"Alcam",1.98247560615135,2.18858610779262
"Aldh1l1",1.668439152761,0.184166727245919
"Aldh6a1",0.978555344045769,0.424584627292621
"Aldoc",7.79555294491955,3.22350929556962
"Alpk1",0.66964661706202,1.57426095051728
"Alpk3",0.530729952170036,0.164644878478917
"Alpl",1.2579269626678,0.170750585728471
"Als2cl",2.89588575975112,0.891614852530911
"Amer2",4.02078363377314,1.32796743268405
"Amigo2",3.56730550494213,2.49017741106408
"Amot",1.85863947511648,0.455990819629558
"Ampd2",4.92027507294586,3.69828598760631
"Angptl4",4.04636462876375,1.14843585022703
"Ankrd16",4.38318899629001,3.2894110807589
"Ankrd9",3.4615029052802,2.81377527221229
"Aox1",0.723478340883445,0.162047745533689
"Ap3s1",2.58412090616572,3.37495701164858
"Apobec1",1.43017405517874,4.62237242543041
"Apoc1",1.10423399964049,3.50758914871496
"Apoe",11.1498848708678,11.9703236328703
"Appl2",3.97469852428245,2.49809754459848
"Aqp4",4.09232484237734,0.736663213392395
"Arap2",2.05366085206513,0.647244779240548
"Arglu1",5.25000181819575,4.05353398342899
